"","BatProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"3","XP_045672336","C2CD4D",0.904438653388857,-0.332818552151598,0.564225341416844,-0.589868139059205,0.555279056001254,0.681959097070224,FALSE,"3J22R","C2CD4D","C2CD4D_3J22R"
"9","XP_045672365","CHI3L1",37.6901682254652,0.632466977186431,0.105183440755733,6.0129899976861,1.82132278862509e-09,9.76957787555237e-09,TRUE,"3JE2Y","CHI3L1","CHI3L1_3JE2Y"
"11","XP_045672402","IGSF3",4.94227466679297,2.4975415555141,0.271221948842102,9.20847876131183,3.30779332440333e-20,3.14367814879423e-19,TRUE,"3J8RH","IGSF3","IGSF3_3J8RH"
"13","XP_045672413","GPR37L1",0.0191508538169695,-0.0617060412437253,3.01757196232128,-0.0204489046207394,0.983685271747246,NA,FALSE,"3J28D","GPR37L1","GPR37L1_3J28D"
"16","XP_045672438","TOMM20",81.0507675721903,0.145062133851518,0.0562496399408608,2.57889888724678,0.00991157937555159,0.0235286277951168,TRUE,"3JC69","TOMM20","TOMM20_3JC69"
"26","XP_045672501","RHOC",78.1596363690444,-0.966041931421411,0.0722713554718319,-13.3668716341972,9.44295404911376e-41,1.92619443090892e-39,TRUE,"3JCCR","RHOC","RHOC_3JCCR"
"27","XP_045672509","LOC123804353",192.55175613471,-0.0414923762150478,0.0761376631666861,-0.544965191855307,0.58577745776326,0.708705854234708,FALSE,"3JPM0","-","-_3JPM0"
"30","XP_045672546","MYOG",0.0228258725625923,-0.144728561880115,3.0174706039932,-0.0479635366417779,0.96174530268799,NA,FALSE,"3J44N","MYOG","MYOG_3J44N"
"32","XP_045672549","SEC22B",113.0596264939,0.238190409595672,0.0521672016123602,4.56590352240087,4.97347482015058e-06,1.93919556885881e-05,TRUE,"3JCT5","SEC22B","SEC22B_3JCT5"
"43","XP_045672600","GSTM3",4.61432625528294,0.87187361287798,0.261097408832365,3.33926566631596,0.000840001882913711,0.00241704059381829,TRUE,"3J7KN","GSTM3","GSTM3_3J7KN"
"46","XP_045672604","STXBP3",143.026482155573,0.280849904171114,0.0504511933095904,5.56676434683512,2.59512970987065e-08,1.27007675941258e-07,TRUE,"3JC0Y","STXBP3","STXBP3_3JC0Y"
"55","XP_045672646","NRAS",68.8038127348324,0.000419292053765391,0.0625700145188119,0.0067011659976414,0.994653283127413,0.996793833191681,FALSE,"3J80N","NRAS","NRAS_3J80N"
"56","XP_045672648","PTGFRN",25.7026792103465,0.952900169911176,0.13750312872129,6.93002536576929,4.2076516756409e-12,2.68129091079295e-11,TRUE,"3J5MP","PTGFRN","PTGFRN_3J5MP"
"58","XP_045672652","ETV3",153.45459129309,1.09282827931722,0.0680946406621089,16.0486679816687,5.84040756710518e-58,2.04007090464918e-56,TRUE,"3J3U6","ETV3","ETV3_3J3U6"
"61","XP_045672656","VPS45",37.9201952024743,0.115545836454295,0.0849786958158117,1.3597035744669,0.173923746538966,0.281583300844112,FALSE,"3J2MN","VPS45","VPS45_3J2MN"
"63","XP_045672660","RSBN1",253.671873060181,-0.257663668327969,0.0426939478724872,-6.03513334249448,1.58831478034186e-09,8.55693913750709e-09,TRUE,"3J4DJ","RSBN1","RSBN1_3J4DJ"
"66","XP_045672674","SMG5",71.578780115733,-0.135122275344913,0.0627011357647135,-2.15502117620262,0.0311601771480005,0.0651782283384073,FALSE,"3JC8U","SMG5","SMG5_3JC8U"
"69","XP_045672679","UBQLN4",37.4874095018769,-0.372258342462888,0.0957187434095011,-3.88908513842794,0.00010062281678586,0.00033297948844741,TRUE,"3J6GU","UBQLN4","UBQLN4_3J6GU"
"70","XP_045672681","RAB13",21.5633177015765,-0.79262562044112,0.118899023431758,-6.66637620363676,2.62196652652101e-11,1.58933797049948e-10,TRUE,"3J5Y2","RAB13","RAB13_3J5Y2"
"72","XP_045672683","RTCA",3.9785168847017,-0.315766029519317,0.236971746728536,-1.33250496685178,0.182694310429213,0.292591936780699,FALSE,"3J780","RTCA","RTCA_3J780"
"78","XP_045672702","LINGO4",0.124041260120446,-0.33897731692725,3.01657104227633,-0.112371733394171,0.910528666833629,NA,FALSE,"3JDU9","LINGO4","LINGO4_3JDU9"
"80","XP_045672704","SF3B4",63.0565381903892,0.276363547176045,0.0647545815147909,4.26786090977855,1.97356312168487e-05,7.15399898936776e-05,TRUE,"3J4NF","SF3B4","SF3B4_3J4NF"
"88","XP_045672724","CUNH1orf56",3.71148209363079,-0.113628413534974,0.273129338753832,-0.416024195911762,0.677392297999472,0.783896763945901,FALSE,"3JCMB","C1orf56","C1orf56_3JCMB"
"92","XP_045672735","FAM102B",137.861735336548,1.22953333533668,0.0793053619405921,15.503785686745,3.27041286697503e-54,1.03217577748446e-52,TRUE,"3J7M6","FAM102B","FAM102B_3J7M6"
"106","XP_045672778","PSMB4",59.9700598558427,0.90791994538027,0.0781102808833386,11.6235652351102,3.12804527587432e-31,4.65231446271735e-30,TRUE,"3JCJQ","PSMB4","PSMB4_3JCJQ"
"107","XP_045672783","DCLRE1B",169.50602562818,-0.000325524995508388,0.0508227307953684,-0.00640510634540821,0.994889499480099,0.996879154125644,FALSE,"3JBZ3","DCLRE1B","DCLRE1B_3JBZ3"
"110","XP_045672790","S100A3",3.01980562988423,1.93200979688805,0.31365692916472,6.15962734199133,7.2916326900675e-10,4.03126713516732e-09,TRUE,"3JHIR","S100A3","S100A3_3JHIR"
"113","XP_045672802","BCL2L15",6.72453462187997,-0.294831165302181,0.18369019664306,-1.60504572748151,0.108483741736394,0.190589505945607,FALSE,"3JGIN","BCL2L15","BCL2L15_3JGIN"
"114","XP_045672804","LAMTOR2",35.1352962777249,-0.120771276100569,0.085189816349286,-1.41767268995387,0.156286346968518,0.25880386293599,FALSE,"3JGGA","LAMTOR2","LAMTOR2_3JGGA"
"115","XP_045672808","LOC123804506",9.73358957644847,0.105185305814554,0.157913575878769,0.666094129204609,0.505350936793277,0.638226984608634,FALSE,"3JGDH","HIST2H2AB","HIST2H2AB_3JGDH"
