gene_id	colors
A1BG	grey
A3GALT2	grey
A4GALT	yellow
A4GNT	grey
AACS	yellow
AADACL2	blue
AADAT	turquoise
AANAT	grey
AASS	blue
AATK	blue
ABCA1	blue
ABCA13	grey
ABCA2	grey
ABCA3	red
ABCA5	grey
ABCA6	green
ABCB1	brown
ABCB10	turquoise
ABCB4	turquoise
ABCB6	turquoise
ABCB8	yellow
ABCB9	grey
ABCC1	blue
ABCC12	grey
ABCC2	grey
ABCC4	grey
ABCC6	blue
ABCC8	grey
ABCC9	grey
ABCG1	yellow
ABCG4	grey
ABCG8	grey
ABHD10	brown
ABHD11	yellow
ABHD12B	blue
ABHD14B	grey
ABHD15	grey
ABHD16B	yellow
ABHD17C	magenta
ABHD18	turquoise
ABHD2	blue
ABHD3	grey
ABHD4	turquoise
ABHD5	pink
ABHD8	yellow
ABI2	turquoise
ABI3	brown
ABL1	yellow
ABLIM1	red
ABLIM2	grey
ABLIM3	grey
ABO	magenta
ABRA	blue
ABTB2	blue
ACAD10	grey
ACADL	red
ACADM	turquoise
ACADS	turquoise
ACADSB	turquoise
ACADVL	turquoise
ACAN	turquoise
ACAP3	grey
ACAT1	turquoise
ACAT2	blue
ACBD7	grey
ACE	pink
ACE2	grey
ACER2	pink
ACER3	turquoise
ACHE	turquoise
ACKR1	turquoise
ACKR2	purple
ACKR3	green
ACKR4	brown
ACMSD	grey
ACO2	turquoise
ACOD1	blue
ACOT11	blue
ACOT12	grey
ACOT13	turquoise
ACOT7	grey
ACOT8	grey
ACOX2	grey
ACOX3	grey
ACOXL	brown
ACP1	turquoise
ACP2	blue
ACP3	green
ACP5	black
ACSBG1	turquoise
ACSBG2	grey
ACSF2	blue
ACSL1	turquoise
ACSL3	blue
ACSL5	blue
ACSM2B	blue
ACSS1	blue
ACSS2	blue
ACTA1	grey
ACTA2	grey
ACTB	turquoise
ACTBL2	grey
ACTG2	blue
ACTN1	pink
ACTN3	grey
ACTR10	turquoise
ACTR5	brown
ACTRT3	grey
ACVR1	grey
ACVR1B	green
ACVRL1	grey
ACY1	yellow
ACYP2	grey
ADA	grey
ADA2	grey
ADAM10	turquoise
ADAM15	blue
ADAM17	blue
ADAM19	grey
ADAM2	blue
ADAM22	grey
ADAM23	grey
ADAM28	grey
ADAM32	magenta
ADAM33	grey
ADAM7	blue
ADAM8	blue
ADAM9	blue
ADAMDEC1	blue
ADAMTS1	brown
ADAMTS12	grey
ADAMTS13	grey
ADAMTS14	grey
ADAMTS2	turquoise
ADAMTS3	turquoise
ADAMTS4	grey
ADAMTS5	grey
ADAMTS6	grey
ADAMTS9	grey
ADAMTSL4	blue
ADAMTSL5	turquoise
ADAP1	blue
ADAR	green
ADARB1	grey
ADARB2	blue
ADAT3	yellow
ADCK1	brown
ADCK5	yellow
ADCY3	green
ADCY4	blue
ADCY5	grey
ADCY6	pink
ADCY7	yellow
ADCYAP1R1	brown
ADD2	turquoise
ADD3	red
ADGRA2	yellow
ADGRA3	grey
ADGRE1	green
ADGRE3	blue
ADGRE5	blue
ADGRF1	black
ADGRF5	grey
ADGRG1	brown
ADGRG3	blue
ADGRG5	brown
ADGRG6	green
ADGRG7	blue
ADGRL2	grey
ADGRV1	grey
ADH7	black
ADHFE1	grey
ADI1	yellow
ADIG	grey
ADIPOR1	turquoise
ADIRF	grey
ADK	turquoise
ADM	grey
ADORA2A	yellow
ADORA3	blue
ADRA1A	grey
ADRA2A	grey
ADRA2B	grey
ADRB1	grey
ADSS1	grey
AEBP1	grey
AEN	yellow
AFAP1L1	grey
AFAP1L2	yellow
AFDN	pink
AFF1	turquoise
AFF3	black
AFG1L	turquoise
AFMID	grey
AGAP1	pink
AGAP3	grey
AGBL2	turquoise
AGK	blue
AGO2	turquoise
AGPAT2	grey
AGPAT3	brown
AGPAT4	grey
AGR2	blue
AGRN	yellow
AGTPBP1	turquoise
AHCYL2	brown
AHDC1	yellow
AHI1	brown
AHNAK2	grey
AHR	grey
AHRR	brown
AHSA1	brown
AICDA	red
AIF1	blue
AIF1L	turquoise
AIFM1	brown
AIFM2	yellow
AIFM3	grey
AIG1	grey
AIMP2	grey
AIPL1	grey
AIRE	blue
AJM1	yellow
AJUBA	grey
AK2	turquoise
AK3	pink
AK4	grey
AK5	black
AK6	grey
AK7	blue
AK8	grey
AK9	blue
AKAP1	brown
AKAP12	brown
AKAP17A	yellow
AKAP3	grey
AKAP5	brown
AKAP7	turquoise
AKIRIN1	turquoise
AKNAD1	grey
AKR1B1	brown
AKR7A2	black
AKT1	blue
AKT2	turquoise
AKT3	turquoise
ALAD	turquoise
ALAS1	blue
ALAS2	turquoise
ALB	grey
ALDH16A1	yellow
ALDH1A1	magenta
ALDH1A2	blue
ALDH1B1	blue
ALDH1L2	green
ALDH2	grey
ALDH3A1	grey
ALDH3B1	blue
ALDH4A1	pink
ALDH5A1	yellow
ALDH7A1	grey
ALDH9A1	yellow
ALDOA	blue
ALDOB	turquoise
ALDOC	pink
ALG1	brown
ALG12	yellow
ALG14	grey
ALG6	turquoise
ALG8	turquoise
ALKAL2	brown
ALKBH2	grey
ALKBH7	yellow
ALMS1	turquoise
ALOX15	red
ALOX5	blue
ALOXE3	turquoise
ALPK1	blue
ALPK2	red
ALPK3	grey
ALPL	blue
ALS2CL	turquoise
ALYREF	yellow
AMACR	turquoise
AMDHD2	blue
AMER1	red
AMER2	grey
AMFR	turquoise
AMIGO1	brown
AMN	grey
AMN1	grey
AMOT	brown
AMOTL1	grey
AMOTL2	turquoise
AMPD2	blue
AMPD3	grey
AMPH	grey
AMT	grey
ANAPC1	turquoise
ANAPC10	brown
ANAPC11	brown
ANAPC2	yellow
ANAPC7	turquoise
ANGEL1	grey
ANGPT1	turquoise
ANGPT2	grey
ANGPTL1	brown
ANGPTL3	grey
ANGPTL4	grey
ANGPTL6	red
ANGPTL7	brown
ANK1	turquoise
ANK2	grey
ANK3	grey
ANKAR	grey
ANKDD1A	grey
ANKDD1B	grey
ANKEF1	blue
ANKH	turquoise
ANKIB1	turquoise
ANKLE1	grey
ANKRD12	turquoise
ANKRD13B	red
ANKRD13D	grey
ANKRD22	blue
ANKRD29	purple
ANKRD31	grey
ANKRD34A	grey
ANKRD35	brown
ANKRD37	grey
ANKRD39	grey
ANKRD45	grey
ANKRD50	grey
ANKRD54	yellow
ANKRD6	grey
ANKRD61	grey
ANKRD63	grey
ANKRD9	turquoise
ANKS1B	grey
ANKS3	turquoise
ANLN	turquoise
ANO1	grey
ANO10	blue
ANO4	turquoise
ANO6	pink
ANO7	grey
ANO8	brown
ANO9	grey
ANP32E	turquoise
ANTKMT	grey
ANTXR2	blue
ANXA1	blue
ANXA10	green
ANXA11	grey
ANXA13	grey
ANXA3	grey
ANXA5	green
ANXA7	turquoise
AOAH	blue
AOC2	red
AP1M2	grey
AP1S3	brown
AP2A1	turquoise
AP2A2	turquoise
AP2M1	turquoise
AP2S1	turquoise
AP3M2	grey
AP3S1	turquoise
AP4B1	turquoise
AP5B1	blue
AP5S1	grey
AP5Z1	yellow
APBA1	pink
APBA2	grey
APBA3	yellow
APBB1	red
APBB2	grey
APC2	blue
APCDD1	black
APELA	grey
APH1A	turquoise
APH1B	blue
APLF	turquoise
APLN	blue
APLP1	grey
APLP2	turquoise
APOA1	blue
APOA2	blue
APOA5	grey
APOBEC1	brown
APOBEC2	grey
APOBEC4	grey
APOBR	blue
APOC3	grey
APOE	grey
APOF	grey
APOL5	brown
APOLD1	grey
APOO	grey
APPL1	black
APPL2	grey
APRT	yellow
AQP1	turquoise
AQP10	grey
AQP2	grey
AQP3	red
AQP7	turquoise
AQP9	blue
ARAF	turquoise
ARAP1	blue
ARAP2	brown
ARAP3	blue
ARC	yellow
AREG	blue
ARFGAP3	turquoise
ARFGEF3	grey
ARFIP2	brown
ARFRP1	turquoise
ARG1	brown
ARG2	blue
ARGFX	blue
ARHGAP12	turquoise
ARHGAP19	turquoise
ARHGAP21	pink
ARHGAP23	turquoise
ARHGAP24	black
ARHGAP27	blue
ARHGAP28	grey
ARHGAP29	grey
ARHGAP30	blue
ARHGAP31	brown
ARHGAP32	turquoise
ARHGAP33	red
ARHGAP39	grey
ARHGAP42	grey
ARHGAP44	grey
ARHGAP5	red
ARHGAP6	pink
ARHGDIA	yellow
ARHGDIG	yellow
ARHGEF10	pink
ARHGEF10L	turquoise
ARHGEF11	blue
ARHGEF15	grey
ARHGEF16	grey
ARHGEF17	brown
ARHGEF18	red
ARHGEF19	grey
ARHGEF2	blue
ARHGEF25	grey
ARHGEF26	blue
ARHGEF33	grey
ARHGEF37	grey
ARHGEF39	grey
ARHGEF4	green
ARHGEF40	grey
ARID3A	blue
ARL10	brown
ARL13B	turquoise
ARL14	grey
ARL16	brown
ARL2	yellow
ARL4A	turquoise
ARL4C	yellow
ARL4D	grey
ARL5B	blue
ARL5C	blue
ARL6	grey
ARL6IP4	grey
ARL8A	grey
ARL8B	blue
ARL9	grey
ARMC12	blue
ARMC2	grey
ARMC8	turquoise
ARMC9	grey
ARMCX2	grey
ARMCX5	grey
ARMH1	grey
ARMH4	grey
ARNT2	yellow
ARNTL	blue
ARNTL2	blue
ARPP21	grey
ARRB2	blue
ARRDC1	yellow
ARRDC2	blue
ARRDC3	blue
ARRDC4	blue
ARRDC5	grey
ARSA	grey
ARSB	blue
ARSJ	green
ARSK	blue
ARSL	grey
ART3	grey
ART4	turquoise
ARVCF	grey
ASAH1	blue
ASAH2	grey
ASAP1	turquoise
ASAP2	pink
ASAP3	yellow
ASB1	turquoise
ASB11	grey
ASB13	grey
ASB14	grey
ASB2	red
ASB6	yellow
ASB8	turquoise
ASCC1	turquoise
ASCC2	turquoise
ASCL2	grey
ASCL4	black
ASGR2	green
ASIC1	grey
ASIC4	grey
ASL	brown
ASMT	grey
ASPA	red
ASPH	turquoise
ASPHD1	grey
ASPHD2	brown
ASPM	turquoise
ASPSCR1	yellow
ASRGL1	blue
ASS1	grey
ASTL	grey
ASZ1	turquoise
ATAD2	turquoise
ATAD5	turquoise
ATCAY	red
ATF1	turquoise
ATF3	green
