"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"ACOD1",2033.2478398672,7.15330280513028,0.143625909140523,49.8051002631531,0,0,TRUE,"aconitate decarboxylase 1;transcript_id=XM_045839180.1",NA,NA
"C3AR1",952.032308620144,2.67352807035751,0.0700021804428519,38.1920684962109,0,0,TRUE,"complement C3a receptor 1%2C transcript variant X2;transcript_id=XM_045839663.1",NA,NA
"IL1B",1187.06931669817,7.6217303637208,0.13431005651349,56.7472798505991,0,0,TRUE,"interleukin 1 beta;transcript_id=XM_045828357.1",NA,NA
"IL1RN",3143.52028581384,6.26255021065568,0.0805988135561547,77.7002778867513,0,0,TRUE,"interleukin 1 receptor antagonist%2C transcript variant X2;transcript_id=XM_045828064.1",NA,NA
"MARCKS",906.986909174414,2.71892857635445,0.0719737600100681,37.7766643839937,0,0,TRUE,"myristoylated alanine rich protein kinase C substrate;transcript_id=XM_045843390.1",NA,NA
"NCF1",619.994981816414,4.33015738977375,0.0897872745484874,48.226849645997,0,0,TRUE,"neutrophil cytosolic factor 1%2C transcript variant X2;transcript_id=XM_045819465.1",NA,NA
"NFKB1",1080.9072310535,2.53800146087986,0.0569665928585576,44.5524531751699,0,0,TRUE,"nuclear factor kappa B subunit 1%2C transcript variant X2;transcript_id=XM_045820102.1",NA,NA
"NFKBIZ",811.123568618894,1.93220735556633,0.051302396936896,37.6631009647175,0,0,TRUE,"NFKB inhibitor zeta;transcript_id=XM_045851656.1",NA,NA
"NLRC4",489.210360112813,2.60762622533122,0.0691399219486796,37.7152034864427,0,0,TRUE,"NLR family CARD domain containing 4%2C transcript variant X2;transcript_id=XM_045827688.1",NA,NA
"PDE4B",751.124994881557,1.86310847848015,0.0462866732748724,40.2515097038002,0,0,TRUE,"phosphodiesterase 4B%2C transcript variant X1;transcript_id=XM_045835392.1",NA,NA
"PELI1",554.274206184947,2.5217062148191,0.0529692578468205,47.606976524223,0,0,TRUE,"pellino E3 ubiquitin protein ligase 1%2C transcript variant X1;transcript_id=XM_045828402.1",NA,NA
"RGS1",206.097080031938,4.24440895065155,0.104758885611655,40.5159803473447,0,0,TRUE,"regulator of G protein signaling 1;transcript_id=XM_045818193.1",NA,NA
"SKIL",889.848596728527,3.26136878302207,0.0750025661608168,43.4834293006615,0,0,TRUE,"SKI like proto-oncogene;transcript_id=XM_045851298.1",NA,NA
"TNFAIP3",2211.29835738207,4.79490220596051,0.122367230898844,39.1845281677109,0,0,TRUE,"TNF alpha induced protein 3%2C transcript variant X2;transcript_id=XM_045843931.1",NA,NA
"TRIB1",476.938328760385,3.03481556893621,0.0743422599339166,40.8222129867168,0,0,TRUE,"tribbles pseudokinase 1;transcript_id=XM_045861362.1",NA,NA
"IL1A",919.608914886655,7.86604073711307,0.211334374338283,37.2208296058922,3.14188987070371e-303,3.14051529388527e-300,TRUE,"interleukin 1 alpha;transcript_id=XM_045828373.1",NA,NA
"FAS",930.040629407691,1.50828789676518,0.0414936339828586,36.3498626653976,2.64083935349478e-289,2.48440845767306e-286,TRUE,"Fas cell surface death receptor;transcript_id=XM_045854694.1",NA,NA
"SLC2A6",156.613354442212,3.2137459067779,0.0888303225392242,36.1784784171962,1.32732809689865e-286,1.17933101409445e-283,TRUE,"solute carrier family 2 member 6;transcript_id=XM_045846078.1",NA,NA
"MEFV",145.239746186102,4.61526269292257,0.127917062881135,36.0801177651432,4.6506291238507e-285,3.91460587251285e-282,TRUE,"MEFV innate immuity regulator%2C pyrin;transcript_id=XM_045820860.1",NA,NA
"SGK1",203.105110447887,3.13621927900534,0.0872444036021989,35.9475123849238,5.53523697363171e-283,4.4262522459646e-280,TRUE,"serum/glucocorticoid regulated kinase 1%2C transcript variant X3;transcript_id=XM_045843349.1",NA,NA
"CLEC12A",469.49182594942,2.48035076402141,0.0691101962803936,35.889794813462,4.40742737522858e-282,3.35657076247765e-279,TRUE,"C-type lectin domain family 12 member A%2C transcript variant X2;transcript_id=XM_045839721.1",NA,NA
"CXCR4",1411.90482509236,2.01045290884976,0.0568439354484402,35.3679401855158,5.31388943470343e-274,3.86295607860054e-271,TRUE,"C-X-C motif chemokine receptor 4;transcript_id=XM_045826034.1",NA,NA
"LOC123827073",874.272680114421,2.51667350318181,0.0714279348515161,35.2337430504389,6.0874003654657e-272,4.23286061064752e-269,TRUE,"SAM domain-containing protein SAMSN-1 isoform X1","SAMSN1","SAM domain"
"VCL",453.379854408749,-1.55480320528879,0.0443602561880228,-35.049464067536,3.97315406895577e-269,2.6476105427004e-266,TRUE,"vinculin%2C transcript variant X2;transcript_id=XM_045842222.1",NA,NA
"CSF2RA",371.643011550286,2.4491833924035,0.0705426495500631,34.7191863082113,4.04549501654422e-264,2.58798407198367e-261,TRUE,"colony stimulating factor 2 receptor subunit alpha%2C transcript variant X1;transcript_id=XM_045856003.1",NA,NA
"GAS7",1560.46559590714,3.80534382704445,0.110565983829704,34.4169490040041,1.40658779678874e-259,8.65213793617015e-257,TRUE,"growth arrest specific 7%2C transcript variant X1;transcript_id=XM_045824043.1",NA,NA
"LOC123817384",671.473698747886,7.60344274024017,0.22172012262623,34.2929755323014,9.98703885678349e-258,5.91565601616809e-255,TRUE,"C-C motif chemokine 4","CCL4","C-C motif chemokine ligand 4"
"MAP3K8",512.670126217474,2.7172104426093,0.0793374689696377,34.2487664138765,4.54976617830952e-257,2.59872894606086e-254,TRUE,"mitogen-activated protein kinase kinase kinase 8%2C transcript variant X1;transcript_id=XM_045857944.1",NA,NA
"IER3",221.488164439075,4.2899205757321,0.127300576468206,33.6991449273093,5.94982190087072e-249,3.28122419519398e-246,TRUE,"immediate early response 3;transcript_id=XM_045826111.1",NA,NA
"BTG2",1032.05022875519,2.34026147608007,0.0696023587611818,33.623306993229,7.65855287785171e-248,4.08277453918275e-245,TRUE,"BTG anti-proliferation factor 2;transcript_id=XM_045841615.1",NA,NA
"GGH",228.215286535339,2.88225859993512,0.0860380827836408,33.4998003986573,4.85204161098737e-246,2.50318391885552e-243,TRUE,"gamma-glutamyl hydrolase;transcript_id=XM_045861587.1",NA,NA
"NFKBIA",2320.93629759129,2.31797744946598,0.0696004757426698,33.3040460533074,3.37388881914775e-243,1.68620637139469e-240,TRUE,"NFKB inhibitor alpha;transcript_id=XM_045848548.1",NA,NA
"FAM102A",464.848733200593,2.27245676991158,0.0683936102965763,33.2261560700992,4.51243257618194e-242,2.18688891487509e-239,TRUE,"family with sequence similarity 102 member A;transcript_id=XM_045846146.1",NA,NA
"BIRC3",535.388913062945,2.02950411228624,0.0614321607254434,33.036508700331,2.43042196240707e-239,1.14322760131695e-236,TRUE,"baculoviral IAP repeat containing 3%2C transcript variant X2;transcript_id=XM_045818107.1",NA,NA
"ICOSLG",152.689629497076,3.63710173733,0.11336312402735,32.0836406771263,7.45678772264027e-226,3.40732588709102e-223,TRUE,"inducible T cell costimulator ligand%2C transcript variant X3;transcript_id=XM_045852579.1",NA,NA
