"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"A1BG",0.745074087416668,-0.323703125480912,1.14960691454869,-0.281577225558,0.778267705251093,0.8785157748788,FALSE,"alpha-1-B glycoprotein;transcript_id=XM_045849090.1",NA,NA
"A1CF",0.037482301505223,-0.323518809541398,2.97393788019936,-0.108784656093661,0.913373294248742,NA,FALSE,"APOBEC1 complementation factor%2C transcript variant X1;transcript_id=XM_045854292.1",NA,NA
"A2ML1",0.146525390835085,0.27398722697953,2.97046841209602,0.0922370444552883,0.926509706261434,NA,FALSE,"alpha-2-macroglobulin like 1%2C transcript variant X2;transcript_id=XM_045839701.1",NA,NA
"A3GALT2",0.292197478184668,1.02909166342062,2.15777468240426,0.476922670291957,0.633417188096786,NA,FALSE,"alpha 1%2C3-galactosyltransferase 2%2C transcript variant X1;transcript_id=XM_045859147.1",NA,NA
"A4GALT",5.29393916211888,-0.182186910854033,0.339095687200574,-0.537272863474285,0.591079147143659,0.749552311563249,FALSE,"alpha 1%2C4-galactosyltransferase (P blood group);transcript_id=XM_045834946.1",NA,NA
"A4GNT",4.58498056016567,0.0566888356107914,0.337403030941669,0.16801519373604,0.866571326122837,0.930456032841144,FALSE,"alpha-1%2C4-N-acetylglucosaminyltransferase;transcript_id=XM_045857276.1",NA,NA
"AAAS",22.6530467357026,0.238240345103425,0.174125644393247,1.36820940955361,0.171246537111289,0.321718220268517,FALSE,"aladin WD repeat nucleoporin%2C transcript variant X1;transcript_id=XM_045829454.1",NA,NA
"AACS",5.96815096784941,0.187024186574793,0.312399681420837,0.598669581621151,0.549393245491691,0.715816980779173,FALSE,"acetoacetyl-CoA synthetase;transcript_id=XM_045845489.1",NA,NA
"AADACL2",2.11524380309101,-0.875938405544513,0.631989677488306,-1.38600112746418,0.165746559216682,0.314565636687352,FALSE,"arylacetamide deacetylase like 2%2C transcript variant X1;transcript_id=XM_045851494.1",NA,NA
"AADAT",3.21376333369128,0.0518425109023042,0.480085973873093,0.107985889452393,0.914006885338183,0.95592085738414,FALSE,"aminoadipate aminotransferase;transcript_id=XM_045831816.1",NA,NA
"AAGAB",30.4350317431052,0.155982139017378,0.144566562443312,1.07896415589561,0.28060370683252,0.460406391037816,FALSE,"alpha and gamma adaptin binding protein%2C transcript variant X2;transcript_id=XM_045823731.1",NA,NA
"AAK1",166.387658528405,-0.229174029670846,0.0752075253131356,-3.04722205280193,0.00230967019401705,0.00834530282322297,TRUE,"AP2 associated kinase 1%2C transcript variant X2;transcript_id=XM_045828860.1",NA,NA
"AAMDC",47.1834567517189,-0.162574937515527,0.108127409843995,-1.50354972666125,0.132697343988348,0.265745438111382,FALSE,"adipogenesis associated Mth938 domain containing;transcript_id=XM_045818358.1",NA,NA
