"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"A1BG",1.26032609861627,0.0929194544268378,0.174329505379064,0.53301048623291,0.59402632143388,NA,FALSE,"alpha-1-B glycoprotein;transcript_id=XM_045849090.1",NA,NA
"A1CF",0.0451499080481457,-0.00261015908739632,1.71494997382493,-0.00152200304803921,0.998785617735326,NA,FALSE,"APOBEC1 complementation factor%2C transcript variant X1;transcript_id=XM_045854292.1",NA,NA
"A2ML1",0.170992726533829,0.00720017473187799,0.630549246112125,0.0114188935698095,0.990889239113363,NA,FALSE,"alpha-2-macroglobulin like 1%2C transcript variant X2;transcript_id=XM_045839701.1",NA,NA
"A3GALT2",0.529970194790728,-0.480878684449035,0.245426755078891,-1.959357219609,0.0500709670231036,NA,FALSE,"alpha 1%2C3-galactosyltransferase 2%2C transcript variant X1;transcript_id=XM_045859147.1",NA,NA
"A4GALT",5.40146548116953,0.0996639930305788,0.107055527231885,0.930956071186352,0.351876288108799,0.556068326037083,FALSE,"alpha 1%2C4-galactosyltransferase (P blood group);transcript_id=XM_045834946.1",NA,NA
"A4GNT",4.6929498545706,-0.131907349529769,0.101269589096919,-1.30253663223151,0.192733003812029,0.384874059266684,FALSE,"alpha-1%2C4-N-acetylglucosaminyltransferase;transcript_id=XM_045857276.1",NA,NA
"AAAS",31.6712141380425,-0.14714731465382,0.0454421637223431,-3.238122980959,0.00120318931916265,0.0203673609719557,TRUE,"aladin WD repeat nucleoporin%2C transcript variant X1;transcript_id=XM_045829454.1",NA,NA
"AACS",7.76210513832648,0.0772285719129303,0.092226211803317,0.837382024078242,0.402377866710991,0.601958786127322,FALSE,"acetoacetyl-CoA synthetase;transcript_id=XM_045845489.1",NA,NA
"AADACL2",1.24657043052316,0.353937511001261,0.248360381737495,1.42509650100053,0.154129307964543,NA,FALSE,"arylacetamide deacetylase like 2%2C transcript variant X1;transcript_id=XM_045851494.1",NA,NA
"AADAT",2.98894866533971,0.721187015887862,0.180522065942871,3.99500754725514,6.46921921003006e-05,0.00298831250041606,TRUE,"aminoadipate aminotransferase;transcript_id=XM_045831816.1",NA,NA
"AAGAB",38.7913322907385,-0.0590961048069235,0.0397843678386036,-1.48541017533981,0.137435201852469,0.311982837411944,FALSE,"alpha and gamma adaptin binding protein%2C transcript variant X2;transcript_id=XM_045823731.1",NA,NA
"AAK1",187.058655001118,-0.0513682905876715,0.0359041717160224,-1.43070535073082,0.152514679073492,0.331193254815126,FALSE,"AP2 associated kinase 1%2C transcript variant X2;transcript_id=XM_045828860.1",NA,NA
"AAMDC",55.2981250290468,-0.0598757305531818,0.0345698202543237,-1.73202319574378,0.0832694325725787,0.227897065597806,FALSE,"adipogenesis associated Mth938 domain containing;transcript_id=XM_045818358.1",NA,NA
"AANAT",0.713535579557489,-0.12852859495824,0.248593248418116,-0.517023675325503,0.605139631889747,NA,FALSE,"aralkylamine N-acetyltransferase%2C transcript variant X3;transcript_id=XM_045837064.1",NA,NA
"AAR2",29.5819786230342,-0.0476977106563622,0.0505575930335697,-0.943433177775918,0.345459379553177,0.549783151438434,FALSE,"AAR2 splicing factor%2C transcript variant X2;transcript_id=XM_045833614.1",NA,NA
"AARS1",96.1866914646038,-0.0179325652295752,0.0285054605861977,-0.62909228129638,0.529288643437391,0.706640354277435,FALSE,"alanyl-tRNA synthetase 1%2C transcript variant X2;transcript_id=XM_045818930.1",NA,NA
"AARS2",41.7151030077413,-0.0464021714151821,0.0355483469442878,-1.30532571564874,0.191781961153837,0.383456691689192,FALSE,"alanyl-tRNA synthetase 2%2C mitochondrial%2C transcript variant X2;transcript_id=XM_045844146.1",NA,NA
"AARSD1",18.9995042128894,0.0126122181762749,0.0586189188584507,0.215156103556432,0.829645613694856,0.911457669631287,FALSE,"alanyl-tRNA synthetase domain containing 1;transcript_id=XM_045837612.1",NA,NA
"AASDH",125.794545814272,-0.0207380295990983,0.046921187834656,-0.441975801468973,0.658506716833737,0.802118715625459,FALSE,"aminoadipate-semialdehyde dehydrogenase%2C transcript variant X1;transcript_id=XM_045834389.1",NA,NA
"AASDHPPT",30.9145919885455,-0.073304521733555,0.0443174961319975,-1.65407633850119,0.0981120030168554,0.253545281081467,FALSE,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase;transcript_id=XM_045837635.1",NA,NA
"AASS",67.5069840195494,0.195878592124342,0.0878264107312852,2.2302925793433,0.0257280255016197,0.114674842837596,FALSE,"aminoadipate-semialdehyde synthase%2C transcript variant X2;transcript_id=XM_045847568.1",NA,NA
"AATF",51.7096913278158,-0.0413612670021529,0.038064951642131,-1.0865971245941,0.277214896381358,0.479884046694777,FALSE,"apoptosis antagonizing transcription factor;transcript_id=XM_045836604.1",NA,NA
