"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"A1BG",1.26032609861627,-0.110179375446815,0.33009769904,-0.33377807772439,0.738547027107601,0.876566316502156,FALSE,"alpha-1-B glycoprotein;transcript_id=XM_045849090.1",NA,NA
"A1CF",0.0451499080481457,-0.114963295646405,3.26654375307195,-0.0351941698433673,0.971924911143949,NA,FALSE,"APOBEC1 complementation factor%2C transcript variant X1;transcript_id=XM_045854292.1",NA,NA
"A2ML1",0.170992726533829,0.186549447865587,1.20089686048827,0.155341773305777,0.876551884963369,NA,FALSE,"alpha-2-macroglobulin like 1%2C transcript variant X2;transcript_id=XM_045839701.1",NA,NA
"A3GALT2",0.529970194790728,-0.0193825690168054,0.462558247660257,-0.0419029800351579,0.966576040761801,NA,FALSE,"alpha 1%2C3-galactosyltransferase 2%2C transcript variant X1;transcript_id=XM_045859147.1",NA,NA
"A4GALT",5.40146548116953,0.0693311957094834,0.202605333475469,0.342198275436209,0.732201682977542,0.871965237942833,FALSE,"alpha 1%2C4-galactosyltransferase (P blood group);transcript_id=XM_045834946.1",NA,NA
"A4GNT",4.6929498545706,-0.0840624550244827,0.1891994057394,-0.444306126099934,0.656821272728368,0.82539495427117,FALSE,"alpha-1%2C4-N-acetylglucosaminyltransferase;transcript_id=XM_045857276.1",NA,NA
"AAAS",31.6712141380425,-0.114009079578833,0.0849891260386955,-1.34145490008833,0.179772803142678,0.415751359172673,FALSE,"aladin WD repeat nucleoporin%2C transcript variant X1;transcript_id=XM_045829454.1",NA,NA
"AACS",7.76210513832648,0.088488352419545,0.173334936267873,0.510505004500618,0.609697709416465,0.797853831428198,FALSE,"acetoacetyl-CoA synthetase;transcript_id=XM_045845489.1",NA,NA
"AADACL2",1.24657043052316,0.930669351793928,0.477825967320568,1.94771614655583,0.0514489370042077,0.205227908106363,FALSE,"arylacetamide deacetylase like 2%2C transcript variant X1;transcript_id=XM_045851494.1",NA,NA
"AADAT",2.98894866533971,1.37721398728365,0.349131755767752,3.9446826721766,7.99057217326751e-05,0.00261434699252106,TRUE,"aminoadipate aminotransferase;transcript_id=XM_045831816.1",NA,NA
"AAGAB",38.7913322907385,-0.110266034816794,0.0750928247354097,-1.46839641743826,0.141996574173454,0.368101544492019,FALSE,"alpha and gamma adaptin binding protein%2C transcript variant X2;transcript_id=XM_045823731.1",NA,NA
"AAK1",187.058655001118,-0.164038562579585,0.0684863930193421,-2.39519932862076,0.0166113320226952,0.103504408716687,FALSE,"AP2 associated kinase 1%2C transcript variant X2;transcript_id=XM_045828860.1",NA,NA
"AAMDC",55.2981250290468,-0.0477043821832331,0.064900063718162,-0.735043687944535,0.462312887708061,0.692778380857292,FALSE,"adipogenesis associated Mth938 domain containing;transcript_id=XM_045818358.1",NA,NA
"AANAT",0.713535579557489,0.197831599751436,0.455772618095782,0.434057668005542,0.66424656472661,NA,FALSE,"aralkylamine N-acetyltransferase%2C transcript variant X3;transcript_id=XM_045837064.1",NA,NA
"AAR2",29.5819786230342,-0.221298315229607,0.0960686414291746,-2.30354371559169,0.0212482704879923,0.119774889972393,FALSE,"AAR2 splicing factor%2C transcript variant X2;transcript_id=XM_045833614.1",NA,NA
"AARS1",96.1866914646038,-0.064791983018218,0.0541665725912222,-1.19616176395694,0.23163343878965,0.480167436605302,FALSE,"alanyl-tRNA synthetase 1%2C transcript variant X2;transcript_id=XM_045818930.1",NA,NA
"AARS2",41.7151030077413,-0.0794796370429377,0.0673872833699591,-1.17944563229521,0.238220773613033,0.488222213203237,FALSE,"alanyl-tRNA synthetase 2%2C mitochondrial%2C transcript variant X2;transcript_id=XM_045844146.1",NA,NA
"AARSD1",18.9995042128894,0.0100182877671053,0.111370011220959,0.0899549857028294,0.92832298594833,0.968330260351047,FALSE,"alanyl-tRNA synthetase domain containing 1;transcript_id=XM_045837612.1",NA,NA
