miRNA	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count	read_count
efu-let-7c	2693	3789	3357	1952	5225	4447	5697	4919	5564	9166	4351	5927	10447	9380	3423	2925	7993	9622	6443	6235	3475	4356	5938	3437	3729	4542	4468	5306	3038	3928	2547	4534	7432	8029	11828	8371	1001	4174	4362	6428
efu-let-7d	259	221	615	420	427	309	471	381	511	649	819	814	601	474	965	514	1141	1450	643	586	363	350	353	237	494	519	614	592	289	383	228	416	730	714	1193	714	205	876	249	438
efu-let-7e	196	251	744	399	428	314	419	457	436	707	1076	1012	587	491	865	523	1423	1617	610	487	346	382	355	217	495	487	486	516	312	442	203	306	558	595	1008	739	209	1014	273	433
efu-let-7f	80478	70813	123149	65062	169767	116459	193121	140712	235171	283209	182060	177487	260784	170371	206826	82203	182653	202868	243529	227715	164845	121557	150963	142790	279617	245876	276987	240759	131722	152119	109880	114830	261363	195494	400561	262036	42402	166893	121511	188876
efu-miR-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-125b	930	1376	5778	2518	1873	1120	2021	1776	3012	2262	4673	3635	1711	1636	853	448	6663	10451	4646	1760	2245	827	1607	1823	1523	1505	930	919	883	650	777	846	1925	1633	2118	2089	1448	756	1459	1761
efu-miR-129b	1	2	1	0	2	2	2	2	8	13	14	4	11	16	8	6	1	2	4	5	0	1	7	3	3	22	4	11	1	4	1	7	1	5	10	1	0	3	5	5
efu-miR-1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-133-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-133-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-1388	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-138a	22	22	33	9	85	44	65	50	69	70	76	57	71	36	64	26	76	81	90	52	48	35	52	38	63	57	99	72	13	19	48	62	51	51	167	119	4	38	40	29
efu-miR-138b	24	23	31	12	106	49	64	53	81	82	77	61	78	42	63	26	84	90	100	54	48	37	58	38	77	71	100	79	14	24	58	74	59	55	166	137	4	39	43	35
efu-miR-145	7	13	33	11	20	5	22	16	51	49	13	23	10	4	4	8	21	48	52	18	5	6	7	15	39	42	11	14	17	2	7	5	5	11	11	19	9	15	14	16
efu-miR-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efu-miR-154	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
efu-miR-155	132	198	164	55	349	295	311	278	230	404	201	280	364	364	371	271	302	483	398	445	243	279	253	191	542	586	280	296	175	271	122	225	309	424	882	518	115	227	176	210
