,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA
pha-miR-113,72.2734359164148,4.22939704839535,0.314673771110588,13.4405769933363,3.4969922381193e-41,1.6855502587735e-38,TRUE,pha-miR-113
mmu-miR-6240,40.0339664136577,2.09211489101589,0.221393471061314,9.44975875298727,3.39612518487463e-21,8.18466169554787e-19,TRUE,mmu-miR-6240
mmy-can-312,11.5041515455954,1.72510863641609,0.2274172307633,7.58565492432546,3.30811779118321e-14,5.31504258450102e-12,TRUE,mmy-can-312
mmy-can-253,47.3577403508701,1.54775781520437,0.210255482607326,7.36131964793982,1.8210092507425e-13,2.19431614714471e-11,TRUE,mmy-can-253
mmy-can-154,247.98809425586,1.14413489324033,0.173369428783391,6.59940395068051,4.12814096889535e-11,3.97952789401512e-09,TRUE,mmy-can-154
mmu-miR-2137,2.84303388347487,4.15289490316773,0.641896391097347,6.46972776411501,9.81796387239477e-11,7.88709764415713e-09,TRUE,mmu-miR-2137
mmy-can-254,11.2885552877321,1.39752517831186,0.235048146141268,5.94569751455059,2.7528208597274e-09,1.89551379198372e-07,TRUE,mmy-can-254
mlu-miR-101A-3p,113.354148909276,-0.706380928084517,0.137151393387366,-5.15037369025802,2.59967962009686e-07,1.56630697110836e-05,TRUE,mlu-miR-101A-3p
mmy-can-355,105.110100972062,-0.683745416112419,0.137807203779702,-4.96160866311061,6.99117409076005e-07,3.7441621241626e-05,TRUE,mmy-can-355
hsa-miR-10400-5p,3.0350858904367,2.5232757207629,0.529804703479047,4.76265254761501,1.91064659396941e-06,9.20931658293255e-05,TRUE,hsa-miR-10400-5p
hsa-miR-7704,1.33741525156565,3.55654486230625,0.759060502019582,4.68545636723764,2.79336805435617e-06,NA,FALSE,hsa-miR-7704
hsa-miR-144-5p,397.380114466655,-0.849164078781833,0.191099169383248,-4.44357807269608,8.84750302499554e-06,0.000355374704837321,TRUE,hsa-miR-144-5p
mmu-miR-144-5p,397.380114466655,-0.849164078781833,0.191099169383248,-4.44357807269608,8.84750302499554e-06,0.000355374704837321,TRUE,mmu-miR-144-5p
mmu-miR-142a-5p,8413.45847438901,-0.65375725230497,0.150555565152555,-4.34229881600545,1.40999581064185e-05,0.000522783062099517,TRUE,mmu-miR-142a-5p
hsa-miR-4508,135.072555805086,1.07864105804553,0.25614572742358,4.21104450538743,2.54192657252565e-05,0.000727755565489347,TRUE,hsa-miR-4508
mmy-can-382,10585.9910095295,-0.534366192855297,0.126951772084204,-4.20920625275609,2.56269375711655e-05,0.000727755565489347,TRUE,mmy-can-382
hsa-miR-18a-5p,10587.8718868829,-0.534254309235675,0.12693602957266,-4.20884685801409,2.56677274135247e-05,0.000727755565489347,TRUE,hsa-miR-18a-5p
mlu-miR-18A-5p,10587.8718868829,-0.534254309235675,0.12693602957266,-4.20884685801409,2.56677274135247e-05,0.000727755565489347,TRUE,mlu-miR-18A-5p
mmy-can-139,3.35644978669737,1.64322938981574,0.394361503395025,4.16680983227144,3.08891968859952e-05,0.000827144049947204,TRUE,mmy-can-139
mlu-miR-144-3p,930.810511251716,-1.08085605071779,0.265014247653383,-4.07848279965483,4.53305553508778e-05,0.00114996461469069,TRUE,mlu-miR-144-3p
hsa-let-7b-5p,43619.6130026914,0.44128162028528,0.111792073834476,3.94734264379656,7.90234227280607e-05,0.00173094232895713,TRUE,hsa-let-7b-5p
hsa-let-7a-5p,766052.216824078,0.293606883826986,0.0745557772467318,3.93808360223159,8.21349790833108e-05,0.00173094232895713,TRUE,hsa-let-7a-5p
mlu-leT-7A-5p,255002.449222462,0.293603471268097,0.0745694850329964,3.93731391786036,8.23987837803086e-05,0.00173094232895713,TRUE,mlu-leT-7A-5p
mmy-can-354,254962.389753613,0.293604930868333,0.0745807721479065,3.93673761229052,8.25968331245106e-05,0.00173094232895713,TRUE,mmy-can-354
