,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA,spp
hsa-miR-7-5p,864.596340863162,-0.143460840621529,0.0316267181170623,-4.53606473142508,5.73135956145237e-06,0.000638004060779282,TRUE,hsa-miR-7-5p,hsa
efu-miR-7b,288.672221986176,-0.144204585879733,0.0321299094938926,-4.48817280070909,7.18366507062966e-06,0.000638004060779282,TRUE,efu-miR-7b,efu
efu-miR-7c,287.765390893311,-0.143816126216332,0.0321549064346354,-4.47260285171976,7.72732125506499e-06,0.000638004060779282,TRUE,efu-miR-7c,efu
mmu-miR-7a-5p,288.158727983675,-0.143942079107377,0.0322049422164875,-4.46956489285938,7.8378877245612e-06,0.000638004060779282,TRUE,mmu-miR-7a-5p,mmu
efu-miR-7a,288.158727983675,-0.143942079107377,0.0322049422164875,-4.46956489285938,7.8378877245612e-06,0.000638004060779282,TRUE,efu-miR-7a,efu
pal-miR-599-3p,15.9693810816832,0.173516924239246,0.0444751889383463,3.90143197547251,9.56253344300117e-05,0.00648658518550246,TRUE,pal-miR-599-3p,pal
efu-miR-192,161.244772442557,0.10231382083634,0.0355176113003688,2.88065038977658,0.00396855572805856,0.201900272664979,FALSE,efu-miR-192,efu
hsa-miR-192-5p,161.244772442557,0.10231382083634,0.0355176113003688,2.88065038977658,0.00396855572805856,0.201900272664979,FALSE,hsa-miR-192-5p,hsa
pal-miR-338-3p,171.660598899182,0.156317687078052,0.0565882451762559,2.76237028717126,0.00573833579480929,0.220025596016178,FALSE,pal-miR-338-3p,pal
pha-miR-1028,4.10801185209099,-0.487831118085121,0.178335093459181,-2.7354745979752,0.00622903938234591,0.220025596016178,FALSE,pha-miR-1028,pha
hsa-miR-125b-5p,3664.11043051247,0.141334979283155,0.0518764765066461,2.72445217564165,0.00644082576473467,0.220025596016178,FALSE,hsa-miR-125b-5p,hsa
efu-miR-125b,1831.94356420864,0.141334515507847,0.0519215118742722,2.72208012451733,0.00648724116018215,0.220025596016178,FALSE,efu-miR-125b,efu
hsa-miR-451a,636417.625236763,0.0901040732797656,0.0337173741349253,2.67233364375292,0.00753257127874747,0.235827423880786,FALSE,hsa-miR-451a,hsa
mmu-miR-362-5p,47.9623032203966,0.0987835345067346,0.0378063794685388,2.61288004552086,0.00897828082408636,0.261011449671653,FALSE,mmu-miR-362-5p,mmu
mmu-let-7j,1363.37690164885,-0.0495684360426038,0.0192670168015685,-2.57270944189806,0.0100905881549899,0.273791291938726,FALSE,mmu-let-7j,mmu
efu-miR-155,296.834988409283,-0.0689025118615017,0.0275515687811436,-2.50085620927178,0.0123893469702461,0.292133373814806,FALSE,efu-miR-155,efu
hsa-miR-155-5p,296.834988409283,-0.0689025118615017,0.0275515687811436,-2.50085620927178,0.0123893469702461,0.292133373814806,FALSE,hsa-miR-155-5p,hsa
pal-miR-338-5p,19.0989243592656,0.132733859217022,0.0535689395827229,2.4778138273962,0.0132190100434844,0.292133373814806,FALSE,pal-miR-338-5p,pal
pha-miR-1010,62.6844380933857,-0.0997095536981197,0.0404227711204415,-2.4666679432004,0.0136376759274725,0.292133373814806,FALSE,pha-miR-1010,pha
efu-miR-140,152.310814029773,0.065857768236535,0.0285889800608252,2.30360677773106,0.0212447270417479,0.417216353806983,FALSE,efu-miR-140,efu
pal-miR-99a-5p,8745.88542972057,0.087224782584297,0.0386586694930783,2.25627999432092,0.0240531014748287,0.417216353806983,FALSE,pal-miR-99a-5p,pal
efu-miR-99a,8849.4821067804,0.087251853815231,0.0386967912660797,2.25475681472621,0.0241485973136059,0.417216353806983,FALSE,efu-miR-99a,efu
hsa-miR-99a-5p,8849.4821067804,0.087251853815231,0.0386967912660797,2.25475681472621,0.0241485973136059,0.417216353806983,FALSE,hsa-miR-99a-5p,hsa
hsa-miR-122-5p,33.5447171280448,-0.228669483557079,0.10297540293403,-2.22062237235016,0.026376549204743,0.417216353806983,FALSE,hsa-miR-122-5p,hsa
pal-miR-194b-3p,2.81817524874472,-0.245699162640729,0.111243367794395,-2.20866346922219,0.0271980571368106,0.417216353806983,FALSE,pal-miR-194b-3p,pal
hsa-miR-362-5p,161.431202572801,0.0646184719790115,0.0297362165188269,2.1730562776236,0.0297760818752503,0.417216353806983,FALSE,hsa-miR-362-5p,hsa
pal-miR-362-5p,161.431202572801,0.0646184719790115,0.0297362165188269,2.1730562776236,0.0297760818752503,0.417216353806983,FALSE,pal-miR-362-5p,pal
efu-let-7d,526.672324922779,0.0695019576789725,0.0321000356147751,2.16516761891012,0.0303748511461139,0.417216353806983,FALSE,efu-let-7d,efu
hsa-let-7d-5p,526.672324922779,0.0695019576789725,0.0321000356147751,2.16516761891012,0.0303748511461139,0.417216353806983,FALSE,hsa-let-7d-5p,hsa
pal-miR-101-3p,65.8871671758081,0.0652563013008674,0.0302077049637599,2.16025353065237,0.0307530481921609,0.417216353806983,FALSE,pal-miR-101-3p,pal
hsa-miR-18b-5p,144.346432097991,0.0580445193242952,0.0271006460763161,2.14181311991014,0.0322085232449264,0.420496034539464,FALSE,hsa-miR-18b-5p,hsa
