,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,miRNA,spp
pha-miR-1012,72.8437332372335,4.25886320723355,0.308595112132604,13.8008122610948,2.5199712146921e-43,9.04669666074464e-41,TRUE,pha-miR-1012,pha
mmu-miR-6240,40.3741670377884,2.1181917040922,0.22152095525561,9.56203760338633,1.15460723547421e-21,2.07251998767621e-19,TRUE,mmu-miR-6240,mmu
mmu-miR-2137,2.88095303541792,4.18639550889756,0.637494692465153,6.56694958935112,5.13564230239395e-11,6.1456519551981e-09,TRUE,mmu-miR-2137,mmu
efu-miR-9270,3.30598288314711,2.73020487789331,0.477073177633692,5.72282200276962,1.04769016538998e-08,9.40301923437503e-07,TRUE,efu-miR-9270,efu
hsa-miR-10400-5p,3.05594352386892,2.55531544765013,0.525821400782307,4.85966422030061,1.17585011883656e-06,8.44260385324651e-05,TRUE,hsa-miR-10400-5p,hsa
hsa-miR-7704,1.3452014809972,3.58155262714831,0.75233645783207,4.76057299877358,1.9304409327498e-06,0.00011550471580953,TRUE,hsa-miR-7704,hsa
hsa-miR-4508,135.547795345652,1.11578952864652,0.251538536588564,4.43585918793665,9.17057812054942e-06,0.00047031964932532,TRUE,hsa-miR-4508,hsa
hsa-miR-144-5p,396.243931478156,-0.812661895064826,0.189407381591396,-4.29055028498288,1.78230921411137e-05,0.000616565991190889,TRUE,hsa-miR-144-5p,hsa
mmu-miR-144-5p,396.243931478156,-0.812661895064826,0.189407381591396,-4.29055028498288,1.78230921411137e-05,0.000616565991190889,TRUE,mmu-miR-144-5p,mmu
pal-miR-144-5p,394.670425865366,-0.813354968688629,0.189792396617643,-4.28549817160074,1.82330147784219e-05,0.000616565991190889,TRUE,pal-miR-144-5p,pal
hsa-let-7a-5p,767525.80108756,0.323119741396159,0.0755376417813605,4.27759900595535,1.88919941590523e-05,0.000616565991190889,TRUE,hsa-let-7a-5p,hsa
hsa-let-7b-5p,43727.8928103832,0.470731599743982,0.112340872937504,4.19020777954834,2.78699128476489e-05,0.000833774892692162,TRUE,hsa-let-7b-5p,hsa
pal-miR-142-5p,8400.59736214488,-0.623310467109192,0.150010812466438,-4.15510360127305,3.25140183413739e-05,0.000897887121888711,TRUE,pal-miR-142-5p,pal
pal-miR-20a-3p,55.1825547203891,-0.543713170952873,0.132828875904004,-4.0933356339311,4.25211528477708e-05,0.00104045523600316,TRUE,pal-miR-20a-3p,pal
pal-miR-101-3p,91.0165976469635,-0.620070955690785,0.151673288646663,-4.08820143100672,4.34730600001321e-05,0.00104045523600316,TRUE,pal-miR-101-3p,pal
