sample,Population,Sex,Est. Age,trt,lnNLR
2311_C0,Tamana,F,7.74,C0,0.390238661
2311_TH,Tamana,F,7.74,TH,0.390238661
3990_C0,Tamana,F,14.64,C0,0.632328441
3990_TH,Tamana,F,14.64,TH,0.632328441
4750_C0,Tamana,F,2.74,C0,0.38692153
4750_TH,Tamana,F,2.74,TH,0.38692153
4789_C0,Tamana,F,5.43,C0,-0.316120008
4789_TH,Tamana,F,5.43,TH,-0.316120008
6029_C0,Tamana,F,4.36,C0,0.940983344
6029_TH,Tamana,F,4.36,TH,0.940983344
6037_C0,Tamana,M,9.36,C0,1.218928895
6037_TH,Tamana,M,9.36,TH,1.218928895
6250_C0,Ice House2,F,11.25,C0,0.822053801
6250_TH,Ice House2,F,11.25,TH,0.822053801
6272_C0,Tamana,M,6.2,C0,1.851789737
6272_TH,Tamana,M,6.2,TH,1.851789737
6323_C0,Tamana,M,5.51,C0,0.479441709
6323_TH,Tamana,M,5.51,TH,0.479441709
6334_C0,Ice House2,M,3.92,C0,2.383554156
6334_TH,Ice House2,M,3.92,TH,2.383554156
6342_C0,Ice House2,M,3.61,C0,0.666225523
6342_TH,Ice House2,M,3.61,TH,0.666225523
6383_C0,Ice House2,F,12.13,C0,0.334639056
6383_TH,Ice House2,F,12.13,TH,0.334639056
6417_C0,Ice House2,M,2.85,C0,0.10333827
6417_TH,Ice House2,M,2.85,TH,0.10333827
6421_C0,Ice House2,M,2.94,C0,1.125431115
6421_TH,Ice House2,M,2.94,TH,1.125431115
6422_C0,Ice House2,M,1.77,C0,-0.790359406
6422_TH,Ice House2,M,1.77,TH,-0.790359406
6435_C0,Ice House2,M,7.23,C0,0.872757484
6435_TH,Ice House2,M,7.23,TH,0.872757484
6439_C0,Ice House2,M,4.03,C0,0.843758034
6439_TH,Ice House2,M,4.03,TH,0.843758034
6440_C0,Ice House2,F,2.92,C0,-0.175526514
6440_TH,Ice House2,F,2.92,TH,-0.175526514
6446_C0,Ice House2,F,8.51,C0,1.338450719
6446_TH,Ice House2,F,8.51,TH,1.338450719
6447_C0,Ice House2,F,10.49,C0,1.609437912
6447_TH,Ice House2,F,10.49,TH,1.609437912
