"","Sample_no","Phase","Phase.batch","Univ.ID","Band","Yr","Mon","Ban_Yr_Mo","Trtmt","Additive","Temp","Duration","SampleTime","DecTime","Sex","Age.all.bat.","Est.Age","Cave","Site","Group","FA","WT","TTH","STATUS","REP","LN.N.L..","X"
"Phase1.S1","S1",1,"Phase1","Phase1.S1",4737,2023,1,"4737_2023_1","TL","LPS0.1","22C",3,"1:20 pm",13.33,"M",3.6,3.6,"Tamana","Tunnel","T5",85.32,84,1.5,"B","AT",1.64939329,""
"Phase1.S10","S10",1,"Phase1","Phase1.S10",6084,2023,1,"6084_2023_1","CL","PBS","22C",3,"1:30 pm",13.5,"F",5.09,5.09,"Caura","Lower Cave","C2",83.3,75,1,"","NP",0.80727742,""
"Phase1.S11","S11",1,"Phase1","Phase1.S11",6085,2023,1,"6085_2023_1","TL","LPS0.1","22C",3,"1:30 pm",13.5,"F",4.91,4.91,"Caura","Lower Cave","C2",79.29,70.5,1.5,"","NP",0.61856862,""
"Phase1.S12","S12",1,"Phase1","Phase1.S12",6085,2023,1,"6085_2023_1","CL","PBS","22C",3,"1:30 pm",13.5,"F",4.91,4.91,"Caura","Lower Cave","C2",79.29,70.5,1.5,"","NP",0.61856862,""
"Phase1.S13","S13",1,"Phase1","Phase1.S13",6087,2023,1,"6087_2023_1","TL","LPS0.1","22C",3,"1:30 pm",13.5,"M",3.41,3.41,"Caura","Upper Cave","BM",85.14,85,1.5,"B","ST",2.030706686,""
"Phase1.S14","S14",1,"Phase1","Phase1.S14",6087,2023,1,"6087_2023_1","CL","PBS","22C",3,"1:30 pm",13.5,"M",3.41,3.41,"Caura","Upper Cave","BM",85.14,85,1.5,"B","ST",2.030706686,""
"Phase1.S15","S15",1,"Phase1","Phase1.S15",6051,2023,1,"6051_2023_1","TL","LPS0.1","22C",3,"11:45 am",11.75,"M",1.25,1.25,"Caura","Lower","C4",85.3,82.2,1,"","AT",-0.648098078,""
"Phase1.S16","S16",1,"Phase1","Phase1.S16",6051,2023,1,"6051_2023_1","CL","PBS","22C",3,"11:45 am",11.75,"M",1.25,1.25,"Caura","Lower","C4",85.3,82.2,1,"","AT",-0.648098078,""
"Phase1.S2","S2",1,"Phase1","Phase1.S2",4737,2023,1,"4737_2023_1","CL","PBS","22C",3,"1:20 pm",13.33,"M",3.6,3.6,"Tamana","Tunnel","T5",85.32,84,1.5,"B","AT",1.64939329,""
"Phase1.S3","S3",1,"Phase1","Phase1.S3",4744,2023,1,"4744_2023_1","TL","LPS0.1","22C",3,"1:20 pm",13.33,"M",4.13,4.13,"Tamana","Tunnel","T5",84.77,89.5,1.5,"B","AT",0.366549692,""
"Phase1.S4","S4",1,"Phase1","Phase1.S4",4744,2023,1,"4744_2023_1","CL","PBS","22C",3,"1:20 pm",13.33,"M",4.13,4.13,"Tamana","Tunnel","T5",84.77,89.5,1.5,"B","AT",0.366549692,""
"Phase1.S5","S5",1,"Phase1","Phase1.S5",4775,2023,1,"4775_2023_1","TL","LPS0.1","22C",3,"12:00 pm",12,"F",3.74,3.74,"Tamana","Tunnel","T1",83.5,71.8,1.5,"","NP",1.221624315,""
"Phase1.S6","S6",1,"Phase1","Phase1.S6",4775,2023,1,"4775_2023_1","CL","PBS","22C",3,"12:00 pm",12,"F",3.74,3.74,"Tamana","Tunnel","T1",83.5,71.8,1.5,"","NP",1.221624315,""
"Phase1.S7","S7",1,"Phase1","Phase1.S7",4776,2023,1,"4776_2023_1","TL","LPS0.1","22C",3,"12:00 pm",12,"F",7.02,7.02,"Tamana","Tunnel","T1",80.34,69.4,1.5,"","NP",0.068705474,""
"Phase1.S8","S8",1,"Phase1","Phase1.S8",4776,2023,1,"4776_2023_1","CL","PBS","22C",3,"12:00 pm",12,"F",7.02,7.02,"Tamana","Tunnel","T1",80.34,69.4,1.5,"","NP",0.068705474,""
"Phase1.S9","S9",1,"Phase1","Phase1.S9",6084,2023,1,"6084_2023_1","TL","LPS0.1","22C",3,"1:30 pm",13.5,"F",5.09,5.09,"Caura","Lower Cave","C2",83.3,75,1,"","NP",0.80727742,""
"Phase2.S1","S1",2,"Phase2","Phase2.S1",4068,2023,1,"4068_2023_1","TL","LPS0.1","22C",3,"11:45 am",11.75,"F",15.94,15.94,"Caura","Lower","C4",81.74,67.5,4,"","NP",0.424057941,""
