gene	description
HECW2	HECT%2C C2 and WW domain containing E3 ubiquitin protein ligase 2%2C transcript variant X2;transcript_id=XM_045844433.1
HECW2	HECT%2C C2 and WW domain containing E3 ubiquitin protein ligase 2%2C transcript variant X1;transcript_id=XM_045844343.1
HECW2	HECT%2C C2 and WW domain containing E3 ubiquitin protein ligase 2%2C transcript variant X3;transcript_id=XM_045844520.1
HECW2	HECT%2C C2 and WW domain containing E3 ubiquitin protein ligase 2%2C transcript variant X4;transcript_id=XM_045844602.1
HECW2	HECT%2C C2 and WW domain containing E3 ubiquitin protein ligase 2%2C transcript variant X5;transcript_id=XM_045844683.1
LOC123814418	U6 spliceosomal RNA;transcript_id=XR_006784909.1
STK17B	serine/threonine kinase 17b;transcript_id=XM_045855796.1
DNAH7	dynein axonemal heavy chain 7;transcript_id=XM_045850123.1
SLC39A10	solute carrier family 39 member 10%2C transcript variant X3;transcript_id=XM_045817701.1
SLC39A10	solute carrier family 39 member 10%2C transcript variant X2;transcript_id=XM_045817638.1
SLC39A10	solute carrier family 39 member 10%2C transcript variant X4;transcript_id=XM_045817745.1
SLC39A10	solute carrier family 39 member 10%2C transcript variant X1;transcript_id=XM_045817558.1
LOC123814414	U6 spliceosomal RNA;transcript_id=XR_006784907.1
LOC123813904	60S ribosomal protein L38-like;transcript_id=XM_045831385.1
TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2;transcript_id=XM_045861343.1
CAVIN2	caveolae associated protein 2;transcript_id=XM_045828801.1
NABP1	nucleic acid binding protein 1%2C transcript variant X2;transcript_id=XM_045826331.1
NABP1	nucleic acid binding protein 1%2C transcript variant X1;transcript_id=XM_045826255.1
MYO1B	myosin IB%2C transcript variant X1;transcript_id=XM_045859193.1
MYO1B	myosin IB%2C transcript variant X3;transcript_id=XM_045859359.1
MYO1B	myosin IB%2C transcript variant X4;transcript_id=XM_045859445.1
MYO1B	myosin IB%2C transcript variant X5;transcript_id=XM_045859535.1
MYO1B	myosin IB%2C transcript variant X2;transcript_id=XM_045859277.1
STAT4	signal transducer and activator of transcription 4;transcript_id=XM_045858090.1
STAT1	signal transducer and activator of transcription 1%2C transcript variant X1;transcript_id=XM_045835565.1
STAT1	signal transducer and activator of transcription 1%2C transcript variant X2;transcript_id=XM_045835622.1
STAT1	signal transducer and activator of transcription 1%2C transcript variant X3;transcript_id=XM_045835701.1
GLS	glutaminase%2C transcript variant X1;transcript_id=XM_045820550.1
GLS	glutaminase%2C transcript variant X2;transcript_id=XM_045820641.1
GLS	glutaminase%2C transcript variant X3;transcript_id=XM_045820713.1
NAB1	NGFI-A binding protein 1%2C transcript variant X2;transcript_id=XM_045826132.1
NAB1	NGFI-A binding protein 1%2C transcript variant X1;transcript_id=XM_045826055.1
NEMP2	nuclear envelope integral membrane protein 2%2C transcript variant X1;transcript_id=XM_045816728.1
NEMP2	nuclear envelope integral membrane protein 2%2C transcript variant X2;transcript_id=XM_045816814.1
MFSD6	major facilitator superfamily domain containing 6%2C transcript variant X2;transcript_id=XM_045856059.1
MFSD6	major facilitator superfamily domain containing 6%2C transcript variant X1;transcript_id=XM_045855974.1
INPP1	inositol polyphosphate-1-phosphatase%2C transcript variant X4;transcript_id=XM_045856387.1
INPP1	inositol polyphosphate-1-phosphatase%2C transcript variant X3;transcript_id=XM_045856300.1
INPP1	inositol polyphosphate-1-phosphatase%2C transcript variant X1;transcript_id=XM_045856160.1
INPP1	inositol polyphosphate-1-phosphatase%2C transcript variant X2;transcript_id=XM_045856216.1
INPP1	inositol polyphosphate-1-phosphatase%2C transcript variant X5;transcript_id=XM_045856473.1
INPP1	inositol polyphosphate-1-phosphatase%2C transcript variant X6;transcript_id=XM_045856547.1
LOC123830478	uncharacterized LOC123830478;transcript_id=XR_006787778.1
HIBCH	3-hydroxyisobutyryl-CoA hydrolase%2C transcript variant X2;transcript_id=XM_045836867.1
HIBCH	3-hydroxyisobutyryl-CoA hydrolase%2C transcript variant X1;transcript_id=XM_045836787.1
CUNH2orf88	chromosome unknown C2orf88 homolog%2C transcript variant X1;transcript_id=XM_045837099.1
CUNH2orf88	chromosome unknown C2orf88 homolog%2C transcript variant X2;transcript_id=XM_045837168.1
MSTN	myostatin;transcript_id=XM_045824482.1
PMS1	PMS1 homolog 1%2C mismatch repair system component%2C transcript variant X3;transcript_id=XM_045831743.1
PMS1	PMS1 homolog 1%2C mismatch repair system component%2C transcript variant X1;transcript_id=XM_045831727.1
PMS1	PMS1 homolog 1%2C mismatch repair system component%2C transcript variant X2;transcript_id=XM_045831735.1
PMS1	PMS1 homolog 1%2C mismatch repair system component%2C transcript variant X4;transcript_id=XM_045831753.1
ORMDL1	ORMDL sphingolipid biosynthesis regulator 1%2C transcript variant X2;transcript_id=XM_045831012.1
ORMDL1	ORMDL sphingolipid biosynthesis regulator 1%2C transcript variant X1;transcript_id=XM_045831003.1
ORMDL1	ORMDL sphingolipid biosynthesis regulator 1%2C transcript variant X4;transcript_id=XM_045831026.1
ORMDL1	ORMDL sphingolipid biosynthesis regulator 1%2C transcript variant X3;transcript_id=XM_045831022.1
OSGEPL1	O-sialoglycoprotein endopeptidase like 1%2C transcript variant X1;transcript_id=XM_045831943.1
OSGEPL1	O-sialoglycoprotein endopeptidase like 1%2C transcript variant X2;transcript_id=XM_045831952.1
OSGEPL1	O-sialoglycoprotein endopeptidase like 1%2C transcript variant X3;transcript_id=XM_045831962.1
OSGEPL1	O-sialoglycoprotein endopeptidase like 1%2C transcript variant X6;transcript_id=XM_045831994.1
OSGEPL1	O-sialoglycoprotein endopeptidase like 1%2C transcript variant X4;transcript_id=XM_045831972.1
