"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"A1BG",1.2100497794365,-0.293162031315398,0.233972628920488,-1.25297575476243,0.210214530381386,0.809275087931193,FALSE,"alpha-1-B glycoprotein;transcript_id=XM_045849090.1",NA,NA
"A1CF",0.18806842677256,0.245263909636477,0.676033595186834,0.362798404373223,0.716755483915715,NA,FALSE,"APOBEC1 complementation factor%2C transcript variant X1;transcript_id=XM_045854292.1",NA,NA
"A2ML1",0.043082643833075,0.0954891747115006,1.7964152984441,0.0531554005324968,0.957608090563928,NA,FALSE,"alpha-2-macroglobulin like 1%2C transcript variant X2;transcript_id=XM_045839701.1",NA,NA
"A3GALT2",0.183671864493574,-0.105123468730679,0.676369191849552,-0.155423206730064,0.87648769013872,NA,FALSE,"alpha 1%2C3-galactosyltransferase 2%2C transcript variant X1;transcript_id=XM_045859147.1",NA,NA
"A4GALT",6.93795292944814,0.0631851647650055,0.131659138900818,0.479914765450537,0.631288001581963,0.96012487752561,FALSE,"alpha 1%2C4-galactosyltransferase (P blood group);transcript_id=XM_045834946.1",NA,NA
"A4GNT",4.34346268776825,-0.17386547328283,0.143917868303044,-1.20808816398479,0.227013351940572,0.82104972598985,FALSE,"alpha-1%2C4-N-acetylglucosaminyltransferase;transcript_id=XM_045857276.1",NA,NA
"AAAS",25.8598716910527,-0.0348812405922612,0.0650291886199942,-0.5363936000508,0.591686553612906,0.951371904858492,FALSE,"aladin WD repeat nucleoporin%2C transcript variant X1;transcript_id=XM_045829454.1",NA,NA
"AACS",6.15032642304352,0.0385937309690659,0.128363809274767,0.300658972237687,0.763674557375491,0.97629705704579,FALSE,"acetoacetyl-CoA synthetase;transcript_id=XM_045845489.1",NA,NA
"AADACL2",3.14805439477005,0.123324699680917,0.195875760919176,0.629606742060364,0.528951911381186,0.943053378865468,FALSE,"arylacetamide deacetylase like 2%2C transcript variant X1;transcript_id=XM_045851494.1",NA,NA
"AADAT",3.44237503645608,0.294629474567326,0.203724736899053,1.44621354800579,0.148117314908098,0.749803925768263,FALSE,"aminoadipate aminotransferase;transcript_id=XM_045831816.1",NA,NA
"AAGAB",36.814802325608,-0.0239659086573169,0.0473162503798967,-0.506504815256859,0.612502310190454,0.953826206276736,FALSE,"alpha and gamma adaptin binding protein%2C transcript variant X2;transcript_id=XM_045823731.1",NA,NA
"AAK1",189.78964055164,-0.00368545004029427,0.0378356119327729,-0.0974069098404607,0.922403257566302,0.990494304667552,FALSE,"AP2 associated kinase 1%2C transcript variant X2;transcript_id=XM_045828860.1",NA,NA
"AAMDC",55.0378315908679,-0.015716935300402,0.0556385415033954,-0.282482877439245,0.777573274021316,0.976926182718711,FALSE,"adipogenesis associated Mth938 domain containing;transcript_id=XM_045818358.1",NA,NA
"AANAT",0.552015544797381,0.152806678145178,0.350369671476827,0.436129866780676,0.662742508720654,NA,FALSE,"aralkylamine N-acetyltransferase%2C transcript variant X3;transcript_id=XM_045837064.1",NA,NA
"AAR2",22.6866606227371,-0.099059741203335,0.0571822840937953,-1.73235019854836,0.0832112292741632,0.659740759019335,FALSE,"AAR2 splicing factor%2C transcript variant X2;transcript_id=XM_045833614.1",NA,NA
"AARS1",65.7602325663264,-0.0221955185596063,0.0490188877897151,-0.452795229765765,0.650696198881933,0.963762838973746,FALSE,"alanyl-tRNA synthetase 1%2C transcript variant X2;transcript_id=XM_045818930.1",NA,NA
"AARS2",34.0981376726471,-0.0468262621184812,0.0595104468109026,-0.786857848123271,0.43136508519591,0.91687356295648,FALSE,"alanyl-tRNA synthetase 2%2C mitochondrial%2C transcript variant X2;transcript_id=XM_045844146.1",NA,NA
"AARSD1",17.3611897641085,0.0464340174873303,0.0663342070228424,0.700001094025901,0.483926621218626,0.933620834051644,FALSE,"alanyl-tRNA synthetase domain containing 1;transcript_id=XM_045837612.1",NA,NA
"AASDH",123.211770226844,-0.0431391468912714,0.0574209429632785,-0.751278970093882,0.452484782748182,0.925138723325938,FALSE,"aminoadipate-semialdehyde dehydrogenase%2C transcript variant X1;transcript_id=XM_045834389.1",NA,NA
"AASDHPPT",24.5180602699768,-0.0653857739871154,0.0585499271083338,-1.11675244046219,0.264100189004018,0.850139060211002,FALSE,"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase;transcript_id=XM_045837635.1",NA,NA
"AASS",142.424861201048,0.0165692692680227,0.113089280316378,0.146514941307156,0.883514895739615,0.986477850162791,FALSE,"aminoadipate-semialdehyde synthase%2C transcript variant X2;transcript_id=XM_045847568.1",NA,NA
"AATF",41.4846591516751,-0.0215497422147445,0.045764183724226,-0.470886629260184,0.637721696762991,0.960751936372513,FALSE,"apoptosis antagonizing transcription factor;transcript_id=XM_045836604.1",NA,NA
"AATK",37.9475713568889,0.0275191444881587,0.10751278616588,0.255961597402004,0.79798049053357,0.978240374792349,FALSE,"apoptosis associated tyrosine kinase%2C transcript variant X2;transcript_id=XM_045836887.1",NA,NA
"ABCA1",165.450867058593,0.0274140359029278,0.0734251553168222,0.37336027121276,0.708880324117898,0.972281063629263,FALSE,"ATP binding cassette subfamily A member 1%2C transcript variant X1;transcript_id=XM_045839983.1",NA,NA
"ABCA12",0.0891086882469541,0.239807068629597,1.7964152984441,0.133491998669405,0.893804291775297,NA,FALSE,"ATP binding cassette subfamily A member 12;transcript_id=XM_045853702.1",NA,NA
"ABCA13",3.61287549427503,-0.0889137107186405,0.159003477548609,-0.559193497459569,0.576029670472882,0.948837175655151,FALSE,"ATP binding cassette subfamily A member 13;transcript_id=XM_045828858.1",NA,NA
"ABCA2",37.0524950337113,0.0541099677427011,0.0673159038332829,0.803821454684942,0.421500097226264,0.910579947108697,FALSE,"ATP binding cassette subfamily A member 2%2C transcript variant X2;transcript_id=XM_045846046.1",NA,NA
"ABCA3",40.6358331790184,-0.0855147112086038,0.0673630388067755,-1.26946041513796,0.204276900282399,0.804815811604247,FALSE,"ATP binding cassette subfamily A member 3%2C transcript variant X2;transcript_id=XM_045820730.1",NA,NA
"ABCA4",0.0338230279792765,0.111746278523587,1.7964152984441,0.0622051474513561,0.950399463357434,NA,FALSE,"ATP binding cassette subfamily A member 4%2C transcript variant X1;transcript_id=XM_045847200.1",NA,NA
"ABCA5",31.0374774678956,-0.0658612140131188,0.0692596569172345,-0.950931854771142,0.341638969918141,0.88570872707962,FALSE,"ATP binding cassette subfamily A member 5;transcript_id=XM_045837425.1",NA,NA
"ABCA6",130.756510503877,0.319424621787585,0.122344015055307,2.61087247825882,0.0090311563070798,0.405895397629781,FALSE,"ATP binding cassette subfamily A member 6%2C transcript variant X1;transcript_id=XM_045837156.1",NA,NA
"ABCA9",0.473827256156828,-0.0238325416869781,0.353779238626691,-0.0673655745868295,0.946290674409621,NA,FALSE,"ATP binding cassette subfamily A member 9%2C transcript variant X2;transcript_id=XM_045837154.1",NA,NA
"ABCB1",6.32890384652487,-0.0187061765860038,0.110937274431874,-0.168619399402057,0.866096020543058,0.98369538019169,FALSE,"ATP binding cassette subfamily B member 1;transcript_id=XM_045827989.1",NA,NA
"ABCB10",1238.50398465802,0.102825316696696,0.0854803140441975,1.20291224764956,0.229010280287133,0.823308233757832,FALSE,"ATP binding cassette subfamily B member 10;transcript_id=XM_045861188.1",NA,NA
"ABCB11",0.093055213192596,0.371327923360936,1.18038607512602,0.314581755228934,0.753079233571409,NA,FALSE,"ATP binding cassette subfamily B member 11%2C transcript variant X1;transcript_id=XM_045842402.1",NA,NA
"ABCB4",135.798543429283,0.0456026028377617,0.0685136105567968,0.665599177552579,0.505667332239681,0.938919028346782,FALSE,"ATP binding cassette subfamily B member 4%2C transcript variant X2;transcript_id=XM_045827435.1",NA,NA
"ABCB5",0.258310325289968,-0.0332847752536761,0.616612392256196,-0.053980062145502,0.956951049180931,NA,FALSE,"ATP binding cassette subfamily B member 5;transcript_id=XM_045828292.1",NA,NA
"ABCB6",33.7313665229437,0.14792549298859,0.0851205588639111,1.7378350772472,0.0822398779750525,0.658848779871314,FALSE,"ATP binding cassette subfamily B member 6 (Langereis blood group);transcript_id=XM_045854266.1",NA,NA
"ABCB7",219.498724320922,-0.0306810094113968,0.0436587893211707,-0.702745309442633,0.482214485558517,0.933386889071215,FALSE,"ATP binding cassette subfamily B member 7;transcript_id=XM_045839380.1",NA,NA
"ABCB8",7.44001654121945,-0.149155647622965,0.115124989106926,-1.29559749607822,0.195114192237382,0.799820053753996,FALSE,"ATP binding cassette subfamily B member 8;transcript_id=XM_045837803.1",NA,NA
"ABCB9",1.15062129020569,-0.397238292044682,0.221643015177935,-1.79224367492826,0.0730939413646709,0.639022482942858,FALSE,"ATP binding cassette subfamily B member 9%2C transcript variant X3;transcript_id=XM_045846184.1",NA,NA
"ABCC1",387.62339580468,0.0794268125530874,0.0713909816646022,1.11256086834942,0.265897074642832,0.850443980266742,FALSE,"ATP binding cassette subfamily C member 1%2C transcript variant X1;transcript_id=XM_045819382.1",NA,NA
"ABCC10",22.2451513072191,-0.129728164295226,0.0828955701182785,-1.56495894907442,0.117592535058756,0.724601014220232,FALSE,"ATP binding cassette subfamily C member 10%2C transcript variant X3;transcript_id=XM_045842874.1",NA,NA
"ABCC11",0.0167200911193153,0.12006449147702,1.7964152984441,0.0668355984170309,0.94671258331818,NA,FALSE,"ATP binding cassette subfamily C member 11;transcript_id=XM_045818832.1",NA,NA
"ABCC12",0.780812046330575,0.830279539001545,0.331796236246018,2.50237780993367,0.012336220067127,NA,FALSE,"ATP binding cassette subfamily C member 12%2C transcript variant X2;transcript_id=XM_045818876.1",NA,NA
"ABCC2",0.270379389231417,-0.421029279664883,0.595332471171379,-0.707217059463369,0.479431598696222,NA,FALSE,"ATP binding cassette subfamily C member 2;transcript_id=XM_045854551.1",NA,NA
