"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","description_Phha","gene_symbol_human","description_human"
"A1BG",1.2100497794365,-0.790263042842828,0.479947319660863,-1.6465620506043,0.0996480961117059,NA,FALSE,"alpha-1-B glycoprotein;transcript_id=XM_045849090.1",NA,NA
"A1CF",0.18806842677256,-0.308572592848776,1.3558089666535,-0.227592972489638,0.81996268373295,NA,FALSE,"APOBEC1 complementation factor%2C transcript variant X1;transcript_id=XM_045854292.1",NA,NA
"A2ML1",0.043082643833075,0.233784074573611,3.59454340120295,0.0650386011462186,0.948143266030979,NA,FALSE,"alpha-2-macroglobulin like 1%2C transcript variant X2;transcript_id=XM_045839701.1",NA,NA
"A3GALT2",0.183671864493574,-0.775572684053904,1.35289923123106,-0.573267148173467,0.566463825331301,NA,FALSE,"alpha 1%2C3-galactosyltransferase 2%2C transcript variant X1;transcript_id=XM_045859147.1",NA,NA
"A4GALT",6.93795292944814,0.12286486517633,0.268532206484759,0.457542381171708,0.647281247295034,0.849328105600172,FALSE,"alpha 1%2C4-galactosyltransferase (P blood group);transcript_id=XM_045834946.1",NA,NA
"A4GNT",4.34346268776825,0.225340895001297,0.281909286190166,0.79933831923965,0.424094265277046,NA,FALSE,"alpha-1%2C4-N-acetylglucosaminyltransferase;transcript_id=XM_045857276.1",NA,NA
"AAAS",25.8598716910527,-0.242886449437267,0.133199904139678,-1.82347315492486,0.0682317593339963,0.345566458131421,FALSE,"aladin WD repeat nucleoporin%2C transcript variant X1;transcript_id=XM_045829454.1",NA,NA
"AACS",6.15032642304352,0.000435859830055283,0.263422025250588,0.00165460663223077,0.998679815516324,0.999638072339968,FALSE,"acetoacetyl-CoA synthetase;transcript_id=XM_045845489.1",NA,NA
"AADACL2",3.14805439477005,0.52583951947387,0.398975003488158,1.31797610095009,0.187511648388111,NA,FALSE,"arylacetamide deacetylase like 2%2C transcript variant X1;transcript_id=XM_045851494.1",NA,NA
"AADAT",3.44237503645608,0.6311251333958,0.420701038151018,1.50017488944072,0.133569105959887,NA,FALSE,"aminoadipate aminotransferase;transcript_id=XM_045831816.1",NA,NA
"AAGAB",36.814802325608,-0.256893081540819,0.0977588410256769,-2.62782454093687,0.00859328269413488,0.154785291776056,FALSE,"alpha and gamma adaptin binding protein%2C transcript variant X2;transcript_id=XM_045823731.1",NA,NA
"AAK1",189.78964055164,-0.0990730816057235,0.0762373588185638,-1.29953454764227,0.193760545269807,0.51903813256428,FALSE,"AP2 associated kinase 1%2C transcript variant X2;transcript_id=XM_045828860.1",NA,NA
"AAMDC",55.0378315908679,0.031494163347929,0.112400747410011,0.280195319636496,0.779327657303859,0.913649551607485,FALSE,"adipogenesis associated Mth938 domain containing;transcript_id=XM_045818358.1",NA,NA
"AANAT",0.552015544797381,0.439587351438461,0.718280237498508,0.61199978572343,0.540537899332697,NA,FALSE,"aralkylamine N-acetyltransferase%2C transcript variant X3;transcript_id=XM_045837064.1",NA,NA
"AAR2",22.6866606227371,-0.283668805774546,0.116862192468416,-2.42737877651246,0.0152083683826894,0.192855965772095,FALSE,"AAR2 splicing factor%2C transcript variant X2;transcript_id=XM_045833614.1",NA,NA
"AARS1",65.7602325663264,-0.0543441502881687,0.0990943559973779,-0.548408128204665,0.583411696526536,0.815029473365352,FALSE,"alanyl-tRNA synthetase 1%2C transcript variant X2;transcript_id=XM_045818930.1",NA,NA
"AARS2",34.0981376726471,-0.166195647375759,0.121476995998938,-1.36812444207306,0.171273127155838,0.495042895056055,FALSE,"alanyl-tRNA synthetase 2%2C mitochondrial%2C transcript variant X2;transcript_id=XM_045844146.1",NA,NA
