,Phase,Phase.batch,Band,Ban_Yr_Mo,Trtmt,Additive,Temp,Duration,SampleTime,DecTime,Sex,Est.Age,Cave,Site,Group,FA,WT,TTH,STATUS,LN.N.L..
Phase1.S1,1,Phase1,4737,4737_2023_1,TL,LPS0.1,22C,3,1:20 pm,13.33,M,3.6,Tamana,Tunnel,T5,85.32,84,1.5,B,1.64939329
Phase1.S10,1,Phase1,6084,6084_2023_1,CL,PBS,22C,3,1:30 pm,13.5,F,5.09,Caura,Lower Cave,C2,83.3,75,1,,0.80727742
Phase1.S11,1,Phase1,6085,6085_2023_1,TL,LPS0.1,22C,3,1:30 pm,13.5,F,4.91,Caura,Lower Cave,C2,79.29,70.5,1.5,,0.61856862
Phase1.S12,1,Phase1,6085,6085_2023_1,CL,PBS,22C,3,1:30 pm,13.5,F,4.91,Caura,Lower Cave,C2,79.29,70.5,1.5,,0.61856862
Phase1.S13,1,Phase1,6087,6087_2023_1,TL,LPS0.1,22C,3,1:30 pm,13.5,M,3.41,Caura,Upper Cave,BM,85.14,85,1.5,B,2.030706686
Phase1.S14,1,Phase1,6087,6087_2023_1,CL,PBS,22C,3,1:30 pm,13.5,M,3.41,Caura,Upper Cave,BM,85.14,85,1.5,B,2.030706686
Phase1.S15,1,Phase1,6051,6051_2023_1,TL,LPS0.1,22C,3,11:45 am,11.75,M,1.25,Caura,Lower,C4,85.3,82.2,1,,-0.648098078
Phase1.S16,1,Phase1,6051,6051_2023_1,CL,PBS,22C,3,11:45 am,11.75,M,1.25,Caura,Lower,C4,85.3,82.2,1,,-0.648098078
Phase1.S2,1,Phase1,4737,4737_2023_1,CL,PBS,22C,3,1:20 pm,13.33,M,3.6,Tamana,Tunnel,T5,85.32,84,1.5,B,1.64939329
Phase1.S3,1,Phase1,4744,4744_2023_1,TL,LPS0.1,22C,3,1:20 pm,13.33,M,4.13,Tamana,Tunnel,T5,84.77,89.5,1.5,B,0.366549692
Phase1.S4,1,Phase1,4744,4744_2023_1,CL,PBS,22C,3,1:20 pm,13.33,M,4.13,Tamana,Tunnel,T5,84.77,89.5,1.5,B,0.366549692
Phase1.S5,1,Phase1,4775,4775_2023_1,TL,LPS0.1,22C,3,12:00 pm,12,F,3.74,Tamana,Tunnel,T1,83.5,71.8,1.5,,1.221624315
Phase1.S6,1,Phase1,4775,4775_2023_1,CL,PBS,22C,3,12:00 pm,12,F,3.74,Tamana,Tunnel,T1,83.5,71.8,1.5,,1.221624315
Phase1.S7,1,Phase1,4776,4776_2023_1,TL,LPS0.1,22C,3,12:00 pm,12,F,7.02,Tamana,Tunnel,T1,80.34,69.4,1.5,,0.068705474
Phase1.S8,1,Phase1,4776,4776_2023_1,CL,PBS,22C,3,12:00 pm,12,F,7.02,Tamana,Tunnel,T1,80.34,69.4,1.5,,0.068705474
Phase1.S9,1,Phase1,6084,6084_2023_1,TL,LPS0.1,22C,3,1:30 pm,13.5,F,5.09,Caura,Lower Cave,C2,83.3,75,1,,0.80727742
Phase2.S1,2,Phase2,4068,4068_2023_1,TL,LPS0.1,22C,3,11:45 am,11.75,F,15.94,Caura,Lower,C4,81.74,67.5,4,,0.424057941
Phase2.S10,2,Phase2,4762,4762_2023_1,CL,PBS,22C,3,12:00 pm,12,M,5.51,Tamana,Tunnel,T1,82.89,92,2,H,-0.042559614
Phase2.S11,2,Phase2,4765,4765_2023_1,TL,LPS0.1,22C,3,12:00 pm,12,F,1.48,Tamana,Tunnel,T1,83.98,64,1.5,,0.736878845
Phase2.S12,2,Phase2,4765,4765_2023_1,CL,PBS,22C,3,12:00 pm,12,F,1.48,Tamana,Tunnel,T1,83.98,64,1.5,,0.736878845
Phase2.S13,2,Phase2,4777,4777_2023_1,TL,LPS0.1,22C,3,12:00 pm,12,F,1.11,Tamana,Tunnel,T1,83.07,65.8,1.5,,0.290136061
Phase2.S14,2,Phase2,4777,4777_2023_1,CL,PBS,22C,3,12:00 pm,12,F,1.11,Tamana,Tunnel,T1,83.07,65.8,1.5,,0.290136061
Phase2.S15,2,Phase2,4949,4949_2023_1,TL,LPS0.1,22C,3,11:30 am,11.5,F,12.2,Tamana,Rd Chamber,R14,82.06,74,3.5,,0.173895616
Phase2.S16,2,Phase2,4949,4949_2023_1,CL,PBS,22C,3,11:30 am,11.5,F,12.2,Tamana,Rd Chamber,R14,82.06,74,3.5,,0.173895616
Phase2.S17,2,Phase2,4967,4967_2023_1,TL,LPS0.1,22C,3,11:45 am,11.75,F,11,Caura,Lower,C4,84,80.5,4,,1.352568726
Phase2.S18,2,Phase2,4967,4967_2023_1,CL,PBS,22C,3,11:45 am,11.75,F,11,Caura,Lower,C4,84,80.5,4,,1.352568726
Phase2.S19,2,Phase2,6001,6001_2023_1,TL,LPS0.1,22C,3,11:50 am,11.83,M,5.71,Tamana,Rd Chamber,R12,82.84,91,3,H,0.940709259
Phase2.S2,2,Phase2,4068,4068_2023_1,CL,PBS,22C,3,11:45 am,11.75,F,15.94,Caura,Lower,C4,81.74,67.5,4,,0.424057941
Phase2.S20,2,Phase2,6001,6001_2023_1,CL,PBS,22C,3,11:50 am,11.83,M,5.71,Tamana,Rd Chamber,R12,82.84,91,3,H,0.940709259
Phase2.S21,2,Phase2,6036,6036_2023_1,TL,LPS0.1,22C,3,12:10 pm,12.17,M,5,Tamana,Rd Chamber,R7,84.78,89,2,H,1.49466999
Phase2.S22,2,Phase2,6036,6036_2023_1,CL,PBS,22C,3,12:10 pm,12.17,M,5,Tamana,Rd Chamber,R7,84.78,89,2,H,1.49466999
Phase2.S23,2,Phase2,6037,6037_2023_1,TL,LPS0.1,22C,3,10:50 am,10.83,M,7.36,Tamana,Rd Chamber,R9,86.54,91,3,H,0.720026269
Phase2.S24,2,Phase2,6037,6037_2023_1,CL,PBS,22C,3,10:50 am,10.83,M,7.36,Tamana,Rd Chamber,R9,86.54,91,3,H,0.720026269
Phase2.S25,2,Phase2,6053,6053_2023_1,TL,LPS0.1,22C,3,11:30 am,11.5,M,6.52,Tamana,Rd Chamber,R14,85.73,95.1,2.5,H,NA
Phase2.S26,2,Phase2,6053,6053_2023_1,CL,PBS,22C,3,11:30 am,11.5,M,6.52,Tamana,Rd Chamber,R14,85.73,95.1,2.5,H,NA
Phase2.S27,2,Phase2,6089,6089_2023_1,TL,LPS0.1,22C,3,1:30 pm,13.5,M,2.82,Caura,Upper Cave,BM,82.67,85.5,2.5,B,1.19911521
Phase2.S28,2,Phase2,6089,6089_2023_1,CL,PBS,22C,3,1:30 pm,13.5,M,2.82,Caura,Upper Cave,BM,82.67,85.5,2.5,B,1.19911521
Phase2.S29,2,Phase2,6090,6090_2023_1,TL,LPS0.1,22C,3,1:30 pm,13.5,M,2.04,Caura,Upper Cave,BM,81.75,75,3,B,0.832757619
Phase2.S3,2,Phase2,4593,4593_2023_1,TL,LPS0.1,22C,3,11:45 am,11.75,F,10.3,Caura,Lower,C4,82.35,78.5,4,,1.217959046
Phase2.S30,2,Phase2,6090,6090_2023_1,CL,PBS,22C,3,1:30 pm,13.5,M,2.04,Caura,Upper Cave,BM,81.75,75,3,B,0.832757619
Phase2.S31,2,Phase2,6199,6199_2023_1,TL,LPS0.1,22C,3,1:30 pm,13.5,M,7.61,Tamana,Rd Chamber,R10,82.86,93,3.5,H,2.49219981
Phase2.S32,2,Phase2,6199,6199_2023_1,CL,PBS,22C,3,1:30 pm,13.5,M,7.61,Tamana,Rd Chamber,R10,82.86,93,3.5,H,2.49219981
Phase2.S4,2,Phase2,4593,4593_2023_1,CL,PBS,22C,3,11:45 am,11.75,F,10.3,Caura,Lower,C4,82.35,78.5,4,,1.217959046
Phase2.S5,2,Phase2,4610,4610_2023_1,TL,LPS0.1,22C,3,10:50 am,10.83,F,11.98,Tamana,Rd Chamber,R9,83.31,72,4,,0.781295567
Phase2.S6,2,Phase2,4610,4610_2023_1,CL,PBS,22C,3,10:50 am,10.83,F,11.98,Tamana,Rd Chamber,R9,83.31,72,4,,0.781295567
Phase2.S7,2,Phase2,4672,4672_2023_1,TL,LPS0.1,22C,3,10:50 am,10.83,F,9.34,Tamana,Rd Chamber,L13,82.1,76.8,4,,-0.397601372
Phase2.S8,2,Phase2,4672,4672_2023_1,CL,PBS,22C,3,10:50 am,10.83,F,9.34,Tamana,Rd Chamber,L13,82.1,76.8,4,,-0.397601372
Phase2.S9,2,Phase2,4762,4762_2023_1,TL,LPS0.1,22C,3,12:00 pm,12,M,5.51,Tamana,Tunnel,T1,82.89,92,2,H,-0.042559614
Phase3.S1,3,Phase3,3863,3863_2023_5,C,PBS,38C,3,1:10 pm,13.17,F,12.11,Tamana,Rd Chamber,R14,82.11,80,5,,-0.412572459
Phase3.S10,3,Phase3,4732,4732_2023_5,TH,LPS_1,38C,3,1:44 pm,13.73,M,3.16,Tamana,Lg Chamber,L12,85.6,95,1.5,B,0.221737411
Phase3.S11,3,Phase3,4778,4778_2023_5,C,PBS,38C,3,12:53 pm,12.88,F,1.1,Tamana,Lg Chamber,L2,84.97,76,1,,-0.189242
Phase3.S12,3,Phase3,4778,4778_2023_5,TH,LPS_1,38C,3,12:53 pm,12.88,F,1.1,Tamana,Lg Chamber,L2,84.97,76,1,,-0.189242
Phase3.S13,3,Phase3,4948,4948_2023_5,C,PBS,38C,3,2:06 pm,14.1,F,14.01,Tamana,Rd Chamber,R14,78.95,77,4.5,,1.58224217
Phase3.S14,3,Phase3,4948,4948_2023_5,TH,LPS_1,38C,3,2:06 pm,14.1,F,14.01,Tamana,Rd Chamber,R14,78.95,77,4.5,,1.58224217
Phase3.S15,3,Phase3,4949,4949_2023_5,C,PBS,38C,3,3:12 pm,15.2,F,12.53,Tamana,Rd Chamber,R14,82.1,81.5,3.5,,-0.231074547
Phase3.S16,3,Phase3,4949,4949_2023_5,TH,LPS_1,38C,3,3:12 pm,15.2,F,12.53,Tamana,Rd Chamber,R14,82.1,81.5,3.5,,-0.231074547
Phase3.S17,3,Phase3,6001,6001_2023_5,C,PBS,38C,3,2:03 pm,14.05,M,6.04,Tamana,Lg Chamber,R12,83.25,91,2.5,H,0.445523869
Phase3.S18,3,Phase3,6001,6001_2023_5,TH,LPS_1,38C,3,2:03 pm,14.05,M,6.04,Tamana,Lg Chamber,R12,83.25,91,2.5,H,0.445523869
Phase3.S19,3,Phase3,6037,6037_2023_5,C,PBS,38C,3,1:27 pm,13.45,M,7.69,Tamana,Rd Chamber,R9,86.37,91,3.5,H,1.974572547
Phase3.S2,3,Phase3,3863,3863_2023_5,TH,LPS_1,38C,3,1:10 pm,13.17,F,12.11,Tamana,Rd Chamber,R14,82.11,80,5,,-0.412572459
Phase3.S20,3,Phase3,6037,6037_2023_5,TH,LPS_1,38C,3,1:27 pm,13.45,M,7.69,Tamana,Rd Chamber,R9,86.37,91,3.5,H,1.974572547
Phase3.S21,3,Phase3,6053,6053_2023_5,C,PBS,38C,3,2:51 pm,14.85,M,6.85,Tamana,Rd Chamber,R14,85.64,95.5,2,H,0.897805917
Phase3.S22,3,Phase3,6053,6053_2023_5,TH,LPS_1,38C,3,2:51 pm,14.85,M,6.85,Tamana,Rd Chamber,R14,85.64,95.5,2,H,0.897805917
Phase3.S23,3,Phase3,6115,6115_2023_5,C,PBS,38C,3,1:42 pm,13.7,M,5.31,Tamana,Rd Chamber,R6,82.85,88,2.5,H,1.025999756
Phase3.S24,3,Phase3,6115,6115_2023_5,TH,LPS_1,38C,3,1:42 pm,13.7,M,5.31,Tamana,Rd Chamber,R6,82.85,88,2.5,H,1.025999756
Phase3.S25,3,Phase3,6129,6129_2023_5,C,PBS,38C,3,2:34 pm,14.57,F,1.13,Tamana,Rd Chamber,R10,82.1,77.5,2,,0.280251344
Phase3.S26,3,Phase3,6129,6129_2023_5,TH,LPS_1,38C,3,2:34 pm,14.57,F,1.13,Tamana,Rd Chamber,R10,82.1,77.5,2,,0.280251344
Phase3.S27,3,Phase3,6243,6243_2023_5,C,PBS,38C,3,1:46 pm,13.77,M,5.47,Tamana,Lg Chamber,L13,82.35,99,2,B,0.1087546
