"","BabProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"3","NP_001106087","OVGP1",9.80362534949063,1.04567625772251,0.185344949956956,5.6417844563089,1.68296706722687e-08,5.67941857491446e-08,TRUE,"3JCP9","OVGP1","OVGP1_3JCP9"
"4","NP_001106100","CXCR4",3785.64166086344,0.294193173315707,0.0564763785630536,5.2091366479395,1.89721352997891e-07,6.01200174266733e-07,TRUE,"3JFYR","CXCR4","CXCR4_3JFYR"
"5","NP_001106107","IL12A",13.5852690818466,-2.87863423475272,0.231763305778363,-12.4205780767797,2.02095894607065e-35,1.72403121536756e-34,TRUE,"3JD8I","IL12A","IL12A_3JD8I"
"6","NP_001106110","IFNG",89.5572994251591,-2.41569592449597,0.164247025937418,-14.7076996414925,5.75300357869025e-49,6.55617015570568e-48,TRUE,"3JGSR","IFNG","IFNG_3JGSR"
"7","NP_001106111","COX8A",773.375186104462,0.0666492314272843,0.0454022369201057,1.46797241608529,0.14211171576034,0.220723360312276,FALSE,"3JHTI","COX8A","COX8A_3JHTI"
"18","NP_001162188","CAPZA2",1648.18290634484,-0.0731481077669194,0.0354110157261798,-2.06568792978283,0.0388579557301209,0.0700083057689284,FALSE,"3JBE0","CAPZA2","CAPZA2_3JBE0"
"21","NP_001162223","BYSL",57.3850340026914,-1.10163802314547,0.0709118769415561,-15.535310453754,2.00100855632045e-54,2.52129192210012e-53,TRUE,"3J612","BYSL","BYSL_3J612"
"23","NP_001162232","SOWAHA",0.576738590966145,0.688396821128291,0.93974974266628,0.732532066649101,0.463843877854551,NA,FALSE,"3J5VB","SOWAHA","SOWAHA_3J5VB"
"27","NP_001162241","DRG1",360.401675115757,-0.129653848573254,0.0349376352824057,-3.7110081299219,0.000206435473043579,0.000512052714541955,TRUE,"3J6X8","DRG1","DRG1_3J6X8"
"28","NP_001162246","RTCB",618.50828515374,-1.49972246750989,0.0770302634016095,-19.469263134813,2.00129605559615e-84,4.01809036347469e-83,TRUE,"3J400","RTCB","RTCB_3J400"
"29","NP_001162250","CFAP298",121.853350802767,0.176589898549203,0.0418381314631226,4.220788366346,2.43449412957256e-05,6.57170144619339e-05,TRUE,"3JF3B","C21orf59","C21orf59_3JF3B"
"32","NP_001162255","IFNGR2",5286.55949291686,-2.14078264920994,0.059601584450307,-35.9182170902658,1.58728842440328e-282,2.15113656243562e-280,TRUE,"3J1JU","IFNGR2","IFNGR2_3J1JU"
"33","NP_001162259","ATP5PO",670.370953726904,0.0806380225946431,0.0348724093428876,2.31237313722029,0.0207571293958556,0.0394469803481752,TRUE,"3J48W","ATP5O","ATP5O_3J48W"
"34","NP_001162268","OPN1LW",1.3848253818152,3.25748216942011,0.556546647221114,5.85302631088517,4.82707725305182e-09,1.68820302990897e-08,TRUE,"3J3TE","OPN1LW","OPN1LW_3J3TE"
"36","NP_001162271","EMD",47.4972353797479,-0.0250254623175909,0.366741741740075,-0.0682372892675181,0.94559674359272,0.966243120527561,FALSE,"3JCWR","EMD","EMD_3JCWR"
"38","NP_001162275","ATP6AP1",1066.21204026448,0.87570164079342,0.0505473247227966,17.3243914607905,3.07935507306111e-67,4.85772335996386e-66,TRUE,"3J65T","ATP6AP1","ATP6AP1_3J65T"
"39","NP_001162283","POLR3K",100.07073859982,-0.0176104537900542,0.0441578775395252,-0.398806617783912,0.690035700466743,0.781293626105229,FALSE,"3JGZ8","POLR3K","POLR3K_3JGZ8"
"47","NP_001162368","HOXA5",4.42529240904655,0.560149764190513,0.205519023217255,2.72553730268743,0.00641969218672659,0.013330557352192,TRUE,"3J8BC","HOXA5","HOXA5_3J8BC"
"49","NP_001162370","HOXA9",1.59154106286097,0.436535472560203,0.336717832427624,1.29644298733134,0.194822910124616,0.288894488945108,FALSE,"3J5RY","HOXA9","HOXA9_3J5RY"
"52","NP_001162381","DDX18",530.2373999608,-0.414610355070886,0.0282208843550117,-14.6916145452847,7.295457008646e-49,8.2901972639459e-48,TRUE,"3J99Q","DDX18","DDX18_3J99Q"
"53","NP_001162397","GCC1",366.337295600398,0.241161843588468,0.0320358161659186,7.52788199118925,5.15699659532109e-14,2.29786442726693e-13,TRUE,"3J5X1","GCC1","GCC1_3J5X1"
"54","NP_001162398","ARF5",1359.84366843489,1.02104387018827,0.049873295744296,20.4727571128091,3.76694191049619e-93,8.52458239555552e-92,TRUE,"3J6UJ","ARF5","ARF5_3J6UJ"
"55","NP_001162406","ABT1",302.124987159327,-0.0662492305656656,0.034611065640886,-1.91410548444384,0.0556066789039865,0.0968459838183253,FALSE,"3J20M","ABT1","ABT1_3J20M"
