Refseq_protID_human,Refseq_protID_Phha,gene_symbol_Phha,description_Phha,gene_symbol_human,description_human,,
NP_000005,XP_045695655.1,LOC123819378,alpha-2-macroglobulin-like,A2M,alpha-2-macroglobulin,,
NP_000029,XP_045693866.1,LOC123818046,adenomatous polyposis coli protein,APC,APC regulator of WNT signaling pathway,,
NP_000086,XP_045709182.1,LOC123828346,cartilage oligomeric matrix protein,COMP,cartilage oligomeric matrix protein,,
NP_000092,XP_045675195.1,LOC123806190,cytochrome b-245 light chain,CYBA,cytochrome b-245 alpha chain,,
NP_000093,XP_045710384.1,LOC123828947,steroid 17-alpha-hydroxylase/17%2C20 lyase,CYP17A1,cytochrome P450 family 17 subfamily A member 1,,
NP_000094,XP_045679214.1,LOC123808544,aromatase,CYP19A1,cytochrome P450 family 19 subfamily A member 1,,
NP_000095,XP_045683812.1,LOC123811584,cytochrome P450 1B1,CYP1B1,cytochrome P450 family 1 subfamily B member 1,,
NP_000097,XP_045690722.1,LOC123816041,cytochrome P450 2D14,CYP2D6,cytochrome P450 family 2 subfamily D member 6,,
NP_000137,XP_045712267.1,LOC123830260,ferritin light chain,FTL,ferritin light chain,,
NP_000177,XP_045693621.1,LOC123817881,complement factor H-like,CFH,complement factor H,,
NP_000215,XP_045700960.1,LOC123822838,keratin%2C type I cytoskeletal 18-like,KRT18,keratin 18,,
NP_000221,XP_045711471.1,LOC123829652,leptin,LEP,leptin,,
NP_000226,XP_045709685.1,LOC123828665,lysosomal acid lipase/cholesteryl ester hydrolase-like,LIPA,lipase A, lysosomal acid type,
NP_000244,XP_045676153.1,LOC123806823,microsomal triglyceride transfer protein large subunit,MTTP,microsomal triglyceride transfer protein,,
NP_000248,XP_045697200.1,LOC123820490,LOW QUALITY PROTEIN: myosin-7-like,MYH7,myosin heavy chain 7,,
NP_000257,XP_045716549.1,LOC123832779,norrin,NDP,norrin cystine knot growth factor NDP,,
NP_000260,XP_045692516.1,LOC123817094,nucleoside diphosphate kinase A,NME1,NME/NM23 nucleoside diphosphate kinase 1,,
NP_000261,XP_045679453.1,LOC123808694,purine nucleoside phosphorylase,PNP,purine nucleoside phosphorylase,,
NP_000302,XP_045689342.1,LOC123815174,major prion protein,PRNP,prion protein (Kanno blood group),,
NP_000388,XP_045716488.1,LOC123832753,cytochrome b-245 heavy chain,CYBB,cytochrome b-245 beta chain,,
NP_000389,XP_045690884.1,LOC123816144,NADH-cytochrome b5 reductase 3 isoform X1,CYB5R3,cytochrome b5 reductase 3,,
NP_000409,XP_045705134.1,LOC123825621,interleukin-4 receptor subunit alpha-like,IL4R,interleukin 4 receptor,,
NP_000413,XP_045692137.1,LOC123816931,keratin%2C type I cytoskeletal 17,KRT17,keratin 17,,
NP_000481,XP_045689374.1,LOC123815197,neurophysin 2-like,AVP,arginine vasopressin,,
NP_000488,XP_045716928.1,LOC123833011,cytochrome P450 11B1%2C mitochondrial-like,CYP11B1,cytochrome P450 family 11 subfamily B member 1,,
NP_000490,XP_045704634.1,LOC123825280,cytochrome P450 1A1,CYP1A1,cytochrome P450 family 1 subfamily A member 1,,
NP_000491,XP_045682190.1,LOC123810467,LOW QUALITY PROTEIN: steroid 21-hydroxylase,CYP21A2,cytochrome P450 family 21 subfamily A member 2,,
NP_000493,XP_045695279.1,LOC123819014,LOW QUALITY PROTEIN: eosinophil peroxidase-like,EPX,eosinophil peroxidase,,
NP_000506,XP_045692039.1,LOC123816860,somatotropin-like,GH1,growth hormone 1,,
NP_000508,XP_045705072.1,LOC123825577,hemoglobin subunit alpha,HBA2,hemoglobin subunit alpha 2,,
NP_000508,XP_045705077.1,LOC123825583,hemoglobin subunit alpha,HBA2,hemoglobin subunit alpha 2,,
NP_000510,XP_045695432.1,LOC123819184,hemoglobin subunit beta,HBD,hemoglobin subunit delta,,
NP_000510,XP_045695434.1,LOC123819185,LOW QUALITY PROTEIN: hemoglobin subunit beta-like,HBD,hemoglobin subunit delta,,
NP_000517,XP_045693148.1,LOC123817487,keratin%2C type I cytoskeletal 14,KRT14,keratin 14,,
NP_000529,XP_045695222.1,LOC123818928,regulatory factor X-associated protein,RFXAP,regulatory factor X associated protein,,
NP_000542,XP_045688179.1,LOC123814422,von Hippel-Lindau disease tumor suppressor,VHL,von Hippel-Lindau tumor suppressor,,
NP_000653,XP_045677360.1,LOC123807498,arylamine N-acetyltransferase 1,NAT1,N-acetyltransferase 1,,
NP_000654,XP_045676737.1,LOC123807177,4-aminobutyrate aminotransferase%2C mitochondrial-like isoform X2,ABAT,4-aminobutyrate aminotransferase,,
NP_000660,XP_045676055.1,LOC123806784,alcohol dehydrogenase E chain isoform X1,ADH1C,alcohol dehydrogenase 1C (class I), gamma polypeptide,
NP_000688,XP_045680628.1,LOC123809459,polyunsaturated fatty acid lipoxygenase ALOX12 isoform X1,ALOX12,arachidonate 12-lipoxygenase, 12S type,
NP_000719,XP_045681682.1,LOC123810172,calcitonin gene-related peptide 2-like,CALCB,calcitonin related polypeptide beta,,
NP_000757,XP_045702656.1,LOC123823739,cytochrome P450 2A13,CYP2A13,cytochrome P450 family 2 subfamily A member 13,,
NP_000758,XP_045702818.1,LOC123823834,cytochrome P450 2B4-like isoform X1,CYP2B6,cytochrome P450 family 2 subfamily B member 6,,
NP_000766,XP_045713504.1,LOC123830867,cytochrome P450 2J2-like,CYP2J2,cytochrome P450 family 2 subfamily J member 2,,
NP_000766,XP_045691448.1,LOC123816495,cytochrome P450 2J2-like,CYP2J2,cytochrome P450 family 2 subfamily J member 2,,
NP_000768,XP_045693975.1,LOC123818103,cytochrome P450 3A12-like,CYP3A5,cytochrome P450 family 3 subfamily A member 5,,
NP_000769,XP_045714592.1,LOC123831612,cytochrome P450 4A11 isoform X2,CYP4A11,cytochrome P450 family 4 subfamily A member 11,,
NP_000770,XP_045708099.1,LOC123827702,cytochrome P450 4B1-like isoform X1,CYP4B1,cytochrome P450 family 4 subfamily B member 1,,
NP_000771,XP_045716676.1,LOC123832883,cytochrome P450 7A1,CYP7A1,cytochrome P450 family 7 subfamily A member 1,,
NP_000772,XP_045704642.1,LOC123825290,cholesterol side-chain cleavage enzyme%2C mitochondrial,CYP11A1,cytochrome P450 family 11 subfamily A member 1,,
NP_000775,XP_045711541.1,LOC123829715,sterol 26-hydroxylase%2C mitochondrial isoform X1,CYP27A1,cytochrome P450 family 27 subfamily A member 1,,
NP_000776,XP_045685690.1,LOC123812846,25-hydroxyvitamin D-1 alpha hydroxylase%2C mitochondrial,CYP27B1,cytochrome P450 family 27 subfamily B member 1,,
NP_000777,XP_045683205.1,LOC123811186,lanosterol 14-alpha demethylase,CYP51A1,cytochrome P450 family 51 subfamily A member 1,,
NP_000841,XP_045672992.1,LOC123804657,glutathione S-transferase Mu 1,GSTM4,glutathione S-transferase mu 4,,
NP_000843,XP_045711006.1,LOC123829387,glutathione S-transferase P,GSTP1,glutathione S-transferase pi 1,,
NP_000844,XP_045675764.1,LOC123806592,glutathione S-transferase theta-1 isoform X2,GSTT1,glutathione S-transferase theta 1,,
NP_000885,XP_045712412.1,LOC123830339,lutropin subunit beta,LHB,luteinizing hormone subunit beta,,
NP_000887,XP_045709350.1,LOC123828434,cytochrome P450 4F3-like,CYP4F3,cytochrome P450 family 4 subfamily F member 3,,
NP_000891,XP_045685668.1,LOC123812829,matrix Gla protein,MGP,matrix Gla protein,,
NP_000906,XP_045689375.1,LOC123815198,LOW QUALITY PROTEIN: oxytocin-neurophysin 1-like,OXT,oxytocin/neurophysin I prepropeptide,,
NP_000927,XP_045710444.1,LOC123828983,pancreatic triacylglycerol lipase,PNLIP,pancreatic lipase,,
NP_000984,XP_045685341.1,LOC123812574,60S ribosomal protein L31,RPL31,ribosomal protein L31,,
NP_001001437,XP_045693087.1,LOC123817439,C-C motif chemokine 3-like 1,CCL3L3,C-C motif chemokine ligand 3 like 3,,
NP_001001656,XP_045713547.1,LOC123830971,olfactory receptor 9A4,OR9A4,olfactory receptor family 9 subfamily A member 4,,
NP_001001659,XP_045713550.1,LOC123830974,olfactory receptor 2A14-like,OR2A14,olfactory receptor family 2 subfamily A member 14,,
NP_001001667,XP_045713522.1,LOC123830942,olfactory receptor 6V1,OR6V1,olfactory receptor family 6 subfamily V member 1,,
NP_001001670,XP_045696467.1,LOC123819921,spermatogenesis-associated protein 31D1-like,SPATA31D1,SPATA31 subfamily D member 1,,
NP_001001674,XP_045679335.1,LOC123808612,olfactory receptor 4F15,OR4F15,olfactory receptor family 4 subfamily F member 15,,
NP_001001788,XP_045698884.1,LOC123821517,UL16-binding protein 6-like,RAET1G,retinoic acid early transcript 1G,,
NP_001001912,XP_045679142.1,LOC123808504,olfactory receptor 1509,OR4E2,olfactory receptor family 4 subfamily E member 2,,
NP_001001916,XP_045695541.1,LOC123819283,olfactory receptor 52J3,OR52J3,olfactory receptor family 52 subfamily J member 3,,
NP_001001917,XP_045695558.1,LOC123819299,olfactory receptor 56A1,OR56A1,olfactory receptor family 56 subfamily A member 1,,
NP_001001919,XP_045695960.1,LOC123819607,LOW QUALITY PROTEIN: olfactory receptor 13C4-like,OR13C4,olfactory receptor family 13 subfamily C member 4,,
NP_001001920,XP_045716060.1,LOC123832459,olfactory receptor 4C15-like,OR4C15,olfactory receptor family 4 subfamily C member 15,,
NP_001001921,XP_045708105.1,LOC123827710,olfactory receptor 5AS1-like,OR5AS1,olfactory receptor family 5 subfamily AS member 1,,
NP_001001922,XP_045695519.1,LOC123819255,olfactory receptor 52N5-like,OR52N5,olfactory receptor family 52 subfamily N member 5,,
NP_001001923,XP_045702498.1,LOC123823609,olfactory receptor 5C1,OR5C1,olfactory receptor family 5 subfamily C member 1,,
NP_001001952,XP_045716041.1,LOC123832438,LOW QUALITY PROTEIN: olfactory receptor 5D18-like,OR5D18,olfactory receptor family 5 subfamily D member 18,,
NP_001001954,XP_045711339.1,LOC123829551,olfactory receptor 5A2-like,OR5A2,olfactory receptor family 5 subfamily A member 2,,
NP_001001957,XP_045706555.1,LOC123826596,olfactory receptor 2W3,OR2W3,olfactory receptor family 2 subfamily W member 3,,
NP_001001958,XP_045687468.1,LOC123814018,olfactory receptor 7G3-like,OR7G3,olfactory receptor family 7 subfamily G member 3,,
NP_001001960,XP_045716036.1,LOC123832432,olfactory receptor 5W2-like,OR5W2,olfactory receptor family 5 subfamily W member 2,,
NP_001001961,XP_045696643.1,LOC123820021,olfactory receptor 13C3,OR13C3,olfactory receptor family 13 subfamily C member 3,,
NP_001001968,XP_045679933.1,LOC123808973,olfactory receptor 6S1,OR6S1,olfactory receptor family 6 subfamily S member 1,,
NP_001002907,XP_045714282.1,LOC123831449,olfactory receptor 8K1,OR8K1,olfactory receptor family 8 subfamily K member 1,,
NP_001002925,XP_045714269.1,LOC123831433,olfactory receptor 5AP2,OR5AP2,olfactory receptor family 5 subfamily AP member 2,,
NP_001003443,XP_045695522.1,LOC123819260,olfactory receptor 56A3-like,OR56A3,olfactory receptor family 56 subfamily A member 3,,
NP_001003693,XP_045682191.1,LOC123810470,lymphocyte antigen 6 complex locus protein G6f-like,LY6G6F,lymphocyte antigen 6 family member G6F,,
NP_001003745,XP_045681687.1,LOC123810179,olfactory receptor 10A3-like,OR10A3,olfactory receptor family 10 subfamily A member 3,,
NP_001003818,XP_045695456.1,LOC123819203,tripartite motif-containing protein 6-like isoform X1,TRIM6,tripartite motif containing 6,,
NP_001003819,XP_045695458.1,LOC123819204,tripartite motif-containing protein 34-like,TRIM6-TRIM34,TRIM6-TRIM34 readthrough,,
NP_001003931,XP_045712651.1,LOC123830458,protein mono-ADP-ribosyltransferase PARP3-like,PARP3,poly(ADP-ribose) polymerase family member 3,,
NP_001004051,XP_045673552.1,LOC123805138,G-protein coupled receptor-associated sorting protein 2-like,GPRASP2,G protein-coupled receptor associated sorting protein 2,,
