"","MacProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"1","NP_001027976","SOD1",1303.7071953064,0.190474340224387,0.110057632247146,1.73067815775516,0.0835091830609964,0.176309898596675,FALSE,"3JGNV","SOD1","SOD1_3JGNV"
"2","NP_001027987","RHAG",13.8385874675073,0.0074274353350761,0.186920665710807,0.039735763334844,0.968303789163871,0.981889858619629,FALSE,"3JBSY","RHAG","RHAG_3JBSY"
"3","NP_001027992","VAMP2",717.645150216242,0.0712160483958481,0.0950302524079052,0.74940396969759,0.453613759048724,0.60578335663743,FALSE,"3JGDT","VAMP2","VAMP2_3JGDT"
"5","NP_001028009","SH2D1A",67.7335583524902,0.28198049592843,0.113926646696272,2.47510572904151,0.0133196737832067,0.0418299939001629,TRUE,"3JGGN","SH2D1A","SH2D1A_3JGGN"
"7","NP_001028011","CD40LG",91.6707520009477,0.377578416738996,0.0944302554433107,3.99848983746176,6.37479176087025e-05,0.000466509990329129,TRUE,"3JFHP","CD40LG","CD40LG_3JFHP"
"13","NP_001028021","CCL1",1.64783839981892,-1.94039957520888,2.0486107025518,-0.947178286627063,0.343547937796406,NA,FALSE,"3JHXY","CCL1","CCL1_3JHXY"
"14","NP_001028023","CCL8",11.9478000484862,-1.53818164441863,0.784555738116146,-1.96057662915329,0.0499284308674301,0.118971494390428,FALSE,"3JHPI","CCL8","CCL8_3JHPI"
"18","NP_001028037","STX1A",156.196509682701,-0.222767550029888,0.0846974227053639,-2.63015736387668,0.00853453524992506,0.0290284721537644,TRUE,"3J836","STX1A","STX1A_3J836"
"20","NP_001028048","CCL27",2.50315963111686,-0.248882442010794,0.34397605549744,-0.723545834174049,0.469344605543403,0.620112853355288,FALSE,"3JHFF","CCL27","CCL27_3JHFF"
"21","NP_001028052","CXCL13",0.731123048423938,-0.691690597508726,1.50789032179836,-0.458714130271619,0.64643946559126,NA,FALSE,"3JHS3","CXCL13","CXCL13_3JHS3"
"22","NP_001028053","CX3CL1",0.52250651162097,-1.08667766908167,1.56645048021493,-0.693719771423972,0.487857964361341,NA,FALSE,"3J2U5","CX3CL1","CX3CL1_3J2U5"
"24","NP_001028055","CHRNA7",1.32148114210502,0.312155697758902,0.477223231649337,0.654108343971555,0.513042006152194,NA,FALSE,"3J4PR","CHRNA7","CHRNA7_3J4PR"
"25","NP_001028056","CCR7",346.950752694513,0.124141179901241,0.147091925616451,0.843970050571949,0.398686141628044,0.556841986526796,FALSE,"3JCPN","CCR7","CCR7_3JCPN"
"26","NP_001028064","CXCL10",17.6047997742408,-2.02299322033769,0.330253042556896,-6.12558541376397,9.03507859937207e-10,2.04829987152291e-08,TRUE,"3JHKD","CXCL10","CXCL10_3JHKD"
"28","NP_001028071","SLC15A1",67.5976313549523,-0.300962967651182,0.0777708987880662,-3.86986613683529,0.000108895128480542,0.000740301256971412,TRUE,"3J96Q","SLC15A1","SLC15A1_3J96Q"
"33","NP_001028077","IFNG",39.3414204660705,-0.529408779466779,0.206899436785378,-2.55877342003568,0.0105042180282509,0.0344651650936074,TRUE,"3JGSR","IFNG","IFNG_3JGSR"
"40","NP_001028103","CHRM5",2.94113855958616,-0.285119947919673,0.340734374921251,-0.836780697531821,0.402715849226876,0.559731165657106,FALSE,"3JANM","CHRM5","CHRM5_3JANM"
"41","NP_001028111","TIMP1",632.99210358708,-0.419156023887929,0.194668568036573,-2.15317772209216,0.0313047138212008,0.0827149578661761,FALSE,"3J47Q","TIMP1","TIMP1_3J47Q"
"43","NP_001028119","XCL1",13.2489440105477,0.129360003131518,0.247787768963372,0.522059679025726,0.601628779164484,0.729489445630536,FALSE,"3JHFH","-","-_3JHFH"
"52","NP_001033739","MACO1",459.757169117629,0.0489619639340034,0.0839826700891293,0.583000801022888,0.559892760987696,0.696017984916519,FALSE,"3J5DT","TMEM57","TMEM57_3J5DT"
"54","NP_001035035","TPH2",0.880157693812689,0.0108370575068885,0.753386224919352,0.0143844646323983,0.98852325353676,NA,FALSE,"3J1SB","TPH2","TPH2_3J1SB"
"55","NP_001035038","DSTYK",910.662715320801,0.119102642626661,0.0564538142784522,2.10973596999487,0.0348811043922307,0.0900328793498888,FALSE,"3JASU","DSTYK","DSTYK_3JASU"
"58","NP_001035322","CYP17A1",13.8466370994095,-0.0758317800830976,0.173140642637998,-0.437977928969841,0.661402282927385,0.776582480966469,FALSE,"3JFEA","CYP17A1","CYP17A1_3JFEA"
"64","NP_001035768","EPHA2",21.5139759192085,-1.34585667274627,0.223340537616752,-6.02602952024648,1.6803650437977e-09,3.61258161947224e-08,TRUE,"3J37T","EPHA2","EPHA2_3J37T"
"68","NP_001036110","CXCR4",2378.24934011067,0.0549156672151846,0.0903850523344048,0.607574657499878,0.54346961311927,0.681853958857609,FALSE,"3JFYR","CXCR4","CXCR4_3JFYR"
"69","NP_001036112","GPR15",55.9876375574471,0.215042654859299,0.138283870168743,1.5550812585509,0.119926717844753,0.232059023513768,FALSE,"3J3MQ","GPR15","GPR15_3J3MQ"
"71","NP_001036141","GSTP1",1165.39544366185,0.316665108000784,0.0713013601240419,4.44122114150258,8.94498103735465e-06,8.36872530849292e-05,TRUE,"3JCX3","GSTP1","GSTP1_3JCX3"
"78","NP_001036252","OVGP1",45.4527186579162,-0.113537307943112,0.110298397505271,-1.02936498182293,0.303308198078181,0.459636128765113,FALSE,"3JCP9","OVGP1","OVGP1_3JCP9"
"81","NP_001038192","IL10",28.970731390515,0.294229570929278,0.296712401895426,0.991632196867109,0.32137697725967,0.478462665038008,FALSE,"3J26Z","IL10","IL10_3J26Z"
"83","NP_001038199","IL12A",1.04808187181598,-2.0523439733618,1.01782265804499,-2.01640625421318,0.0437575120623881,NA,FALSE,"3JD8I","IL12A","IL12A_3JD8I"
"86","NP_001040587","IER3",916.193881253978,-4.63655242256279,0.208021926774148,-22.2887677970446,4.74882946973751e-110,9.29777638997606e-107,TRUE,"3JGIQ","IER3","IER3_3JGIQ"
"88","NP_001040589","IRF2BPL",1617.71862198063,-0.679668413921404,0.0969557383455649,-7.0100896091262,2.38165537338029e-12,7.76001691021048e-11,TRUE,"3JCHP","IRF2BPL","IRF2BPL_3JCHP"
"95","NP_001040604","GNL1",409.913746418857,-0.134889626423082,0.0611429784518013,-2.20613437288494,0.0273745926422475,0.0743276099011706,FALSE,"3J5MW","GNL1","GNL1_3J5MW"
"99","NP_001070951","IDO1",5021.67812904837,-1.8493440111814,0.172151245226529,-10.7425537860496,6.4242328397602e-27,8.09115220291903e-25,TRUE,"3J9WI","IDO1","IDO1_3J9WI"
"105","NP_001078827","CHMP1A",547.917497665816,-0.0172292486272972,0.060954887815476,-0.282655735163584,0.777440751209765,0.859976448834346,FALSE,"3J50Q","CHMP1A","CHMP1A_3J50Q"
"108","NP_001098053","SERPINC1",21.0354524658009,0.0983505194692278,0.187632119708162,0.524166755788931,0.600162561070452,0.728413698381196,FALSE,"3JBE7","SERPINC1","SERPINC1_3JBE7"
"109","NP_001098054","F10",7.82451086604977,0.0089673681335527,0.231031113859321,0.0388145474596685,0.969038246379366,0.982445155838807,FALSE,"3JB4F","F10","F10_3JB4F"
"123","NP_001108418","RNF39",16.9625276882011,-0.0975558572041869,0.156179041859799,-0.624641155704888,0.532206601887852,0.672463102661113,FALSE,"3JFR0","RNF39","RNF39_3JFR0"
"131","NP_001116124","DIO1",3.01354911419695,0.603888230449539,0.335635960785357,1.79923578223411,0.0719813914758483,0.157739441210352,FALSE,"3J8YZ","DIO1","DIO1_3J8YZ"
"132","NP_001121559","PRSS12",13.0218477446072,-0.30958015840342,0.191131319062044,-1.61972490914964,0.105291382934071,0.209735526660293,FALSE,"3JBH0","PRSS12","PRSS12_3JBH0"
"137","NP_001123905","CD14",6312.00283767814,-1.97851663998445,0.169979303372662,-11.6397502562224,2.587722267947e-31,4.38832869958855e-29,TRUE,"3JCDA","CD14","CD14_3JCDA"
"138","NP_001128372","OAZ1",26091.951432128,0.134008697208106,0.0935106631524911,1.43308466318513,0.151833643814712,0.278017444893508,FALSE,"3J8RW","OAZ1","OAZ1_3J8RW"
"139","NP_001128381","OAZ2",213.723005538057,0.26341492376227,0.0799405652571893,3.29513461550837,0.000983745424067762,0.00484272575957655,TRUE,"3JEXY","OAZ2","OAZ2_3JEXY"
"142","NP_001129267","IFNB1",11.2246498790604,-3.25607207555422,0.671667441775665,-4.84774439408027,1.2487314910218e-06,1.46961366787631e-05,TRUE,"3JGHC","IFNB1","IFNB1_3JGHC"
"145","NP_001138512","CXCR3",78.557979088259,0.295995928883811,0.0995239511409148,2.97411754146209,0.00293832495906304,0.0120653393028295,TRUE,"3JE92","CXCR3","CXCR3_3JE92"
"146","NP_001138539","SDF2L1",95.0612215099601,-0.103980257730729,0.106583243544942,-0.975577907674433,0.329273676874496,0.486523544103048,FALSE,"3J6W6","SDF2L1","SDF2L1_3J6W6"
"150","NP_001152770","GPX1",14870.2373597368,-0.148520783545338,0.136436933517966,-1.08856729417611,0.276344746002382,0.430529282020639,FALSE,"3JBXN","GPX1","GPX1_3JBXN"
"151","NP_001152840","GPX7",1.44795343045636,-0.270310444257974,0.476366644611621,-0.567442005681059,0.570413917778913,NA,FALSE,"3J841","GPX7","GPX7_3J841"
"152","NP_001152853","SELENOK",357.837911390071,-0.293360286968258,0.0957019772524568,-3.06535241371648,0.00217413650102437,0.00940248550653854,TRUE,"3JHAK","SELENOK","SELENOK_3JHAK"
"153","NP_001152871","SELENOM",32.7277384341003,-0.185726347342102,0.121215375438594,-1.53220123000146,0.125472785120278,0.240118107081321,FALSE,"3JGRT","SELENOM","SELENOM_3JGRT"
"154","NP_001152883","SELENOO",526.270361231986,-0.0686070202616388,0.0618241905443648,-1.10971158146271,0.26712333063609,0.420113565934678,FALSE,"3JDR3","SELENOO","SELENOO_3JDR3"
"155","NP_001152886","SELENOT",657.393663260219,0.352997076986316,0.0821195663220963,4.29857453949234,1.71900090906103e-05,0.000147556809420173,TRUE,"3J3DW","SELENOT","SELENOT_3J3DW"
"156","NP_001152888","SELENOF",568.407473355784,0.239060464055791,0.100365817385989,2.38189126818353,0.0172239822767125,0.0513074559188876,FALSE,"3JB1M","SELENOF","SELENOF_3JB1M"
"157","NP_001152892","SEPHS2",1553.09624992785,0.285048310359159,0.0775382994307342,3.6762259741561,0.000236709862825445,0.00143814582590217,TRUE,"3J66Q","SEPHS2","SEPHS2_3J66Q"
"158","NP_001152962","SELENOP",117.167498414796,2.64461146123273,0.235225199346255,11.2428917844802,2.51022370246462e-29,3.70292382739593e-27,TRUE,"3J8J5","SEPP1","SEPP1_3J8J5"
"162","NP_001159838","TEPP",1.61342883580219,-0.516307744111232,0.424578997646478,-1.21604635880066,0.223967262691688,NA,FALSE,"3J6QD","TEPP","TEPP_3J6QD"
"163","NP_001162080","CAPZA2",1415.03215818562,0.127665264452708,0.0789013867838945,1.61803574888201,0.105654893688232,0.210245721644965,FALSE,"3JBE0","CAPZA2","CAPZA2_3JBE0"
"167","NP_001164530","AAMP",415.695827535055,0.201005746823748,0.0548530251597659,3.66444232088012,0.000247878090780932,0.00149539228043388,TRUE,"3J46J","AAMP","AAMP_3J46J"
"168","NP_001164647","UBAC2",538.165236066203,0.27814359486927,0.0773556420564153,3.59564716257439,0.00032358613917631,0.00188048426320567,TRUE,"3J2Y0","UBAC2","UBAC2_3J2Y0"
"169","NP_001164660","AASDHPPT",272.50157354304,0.244546217146965,0.055578995471187,4.39997547767378,1.08263111762412e-05,9.86320912871009e-05,TRUE,"3J5FU","AASDHPPT","AASDHPPT_3J5FU"
"174","NP_001165579","PNO1",63.8417513668521,-0.09000332310095,0.0961266766859325,-0.936299123239339,0.349119199462328,0.506260449691635,FALSE,"3JAJM","PNO1","PNO1_3JAJM"
"176","NP_001165885","SWAP70",1163.06740324597,0.116157547402384,0.0531613081108265,2.18500167754014,0.0288887235914708,0.0775394366886225,FALSE,"3J5YY","SWAP70","SWAP70_3J5YY"
"180","NP_001177670","C12H2orf66",1.31776261232073,-0.350673866787885,0.716303003309203,-0.489560793641558,0.624444725555908,NA,FALSE,"3JHDI","C2orf66","C2orf66_3JHDI"
"184","NP_001177796","PELO",76.5701408475967,0.0449029643820483,0.0940259585740147,0.477559230057749,0.632963954579575,0.754722380097549,FALSE,"3J6Z0","PELO","PELO_3J6Z0"
