"","PigProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"7","NP_001001532","CCR7",4950.46549787136,0.381500834470212,0.0695421092218134,5.48589680035972,4.1137701873866e-08,5.0275811724214e-07,TRUE,"3JCPN","CCR7","CCR7_3JCPN"
"9","NP_001001540","CHI3L1",20.6259357055871,1.70383392375634,0.391006476427765,4.357559341018,1.31520846224532e-05,0.000106093482621122,TRUE,"3JE2Y","CHI3L1","CHI3L1_3JE2Y"
"10","NP_001001542","ATP1B1",512.183435415405,0.485243028117061,0.113210126483871,4.28621575814769,1.81742482234201e-05,0.000142758217743909,TRUE,"3JA4Y","ATP1B1","ATP1B1_3JA4Y"
"11","NP_001001546","MBP",426.69653694466,-0.173564611938486,0.0824606854324232,-2.10481650774929,0.0353072836485181,0.106918275883452,FALSE,"3J9IF","MBP","MBP_3J9IF"
"13","NP_001001624","CCR9",168.726582040429,-0.15433052731919,0.110108858115867,-1.40161772594889,0.161029430831027,0.343630158775254,FALSE,"3J7RF","CCR9","CCR9_3J7RF"
"14","NP_001001626","DIO2",1.3428162705441,-0.0121174223860227,1.17082371206493,-0.0103494849490635,0.991742453160648,NA,FALSE,"3JEEK","DIO2","DIO2_3JEEK"
"15","NP_001001627","DIO1",1.30705687109796,-1.17461396296613,1.05521260695158,-1.11315383765124,0.265642364669889,NA,FALSE,"3J8YZ","DIO1","DIO1_3J8YZ"
"19","NP_001001635","EIF1B",869.625098178077,0.241115084279206,0.0518519057914941,4.65007178807996,3.31819509800912e-06,3.0144689332872e-05,TRUE,"3JH7G","EIF1B","EIF1B_3JH7G"
"20","NP_001001641","EPHX2",62.8913289854322,0.00996290620120716,0.169135400372054,0.0589049139286712,0.953027844101088,0.980027022792004,FALSE,"3JCRV","EPHX2","EPHX2_3JCRV"
"22","NP_001001645","WDR83OS",565.215330409674,-0.0425390258889533,0.0747332031256263,-0.569211864470005,0.569212369966215,0.76690318638036,FALSE,"3JH2W","WDR83OS","WDR83OS_3JH2W"
"23","NP_001001649","CDH5",1.29003017430666,0.240995870979169,1.36623571998918,0.176394063962167,0.859984367820784,NA,FALSE,"3JEPW","CDH5","CDH5_3JEPW"
"25","NP_001001771","FBN1",33.8351749562555,0.10855184398043,0.218992857743908,0.495686686309064,0.620115481793471,0.80113510789629,FALSE,"3JFQ0","FBN1","FBN1_3JFQ0"
"28","NP_001001862","TNNC2",0.843956160370519,0.192216139952824,1.30766343442026,0.146992058425218,0.883138288690249,NA,FALSE,"3J4FU","TNNC2","TNNC2_3J4FU"
"30","NP_001001866","CCS",557.150537800966,-0.135348089695659,0.0835971667274261,-1.61905115919742,0.105436256141265,0.253716215236407,FALSE,"3J95T","CCS","CCS_3J95T"
